User Name,Review,Rating,Date of Review,reviewCreatedVersion
Julie Dafkovski,"Great app spot on for locations, it is really good to have",5,2022-02-27,2.26
John Hyland,"Great and simple app, but accessibility is poor. It would be vastly better for older folk (or the vision impaired) if the required information wasn't in tiny text that's hard to read. It wastes a lot of screen space that could be better used.",3,2022-02-27,2.26
claudia morey (Cc),Good to use easy to connect with people,4,2022-02-20,2.26
Karen Kuhn,Love this app as you can provide a precise location if required. One thing that could make this more useful would be the ability to put a widget on your lock screen to allow instant access if needed similar to the emergency call option on lock screens. I have a medical app that provides my medical history etc and the widget gives instant access to my information in an emergency without having to unlock my phone.,5,2022-02-15,2.26
C I Bennett,"This is an app everybody should have on their phone. For the average, untrained person, it can be extremely difficult to think rationally in an extreme emergency due to adrenaline coursing through your system that often leads to panic. Giving information such as your whereabouts if you are in an unfamiliar place can make things worse. This app can lessen that sense of panic by giving you everything you need at your fingertips and if you don't know where you are what3words is just brilliant.",5,2022-02-02,2.26
NZIYUMVIRA Sylvestre,Good,5,2022-01-29,
JAY ST,Incredible life savings tech,5,2022-01-21,2.26
Gaz Ang,"It has got my address wrong, it thinks I live at 157 which is actually the 2 duplex dwellings behind me, I live at 159. There is no way to change this?? My wife or I could be dead by the time the emergency services find us?",3,2021-12-20,2.26
Gérard DECOTTIGNIES,Very comprehensive and very easy to use.,5,2021-12-16,2.26
Stephen Fletcher,"App doesn't show my position (as indicated in app preview). Location is selected ""On"". Any thoughts or suggestion from anyone. Cheers",2,2021-12-13,2.26
Mick Newman,This is a great app but it needs to have the ability to be used on a phone that is locked with a password so a child can ring for help,5,2021-11-25,2.26
Sholto Jones,Just call 000 actually tried to use this app during an emergency and it didn't work. I ended up calling 000,1,2021-11-11,
Mick I am,"The concept of this app is sound and useful, however it's very hard to read for those who have less than ideal eyesight. Surely this must be obvious? An emergency app. is for everyone, not just for those with perfect vision! Get with it!",3,2021-11-11,2.26
Alana Walsh,App is recommended by Australia Wide First Aid... gives your exact location when talking to required emergency,5,2021-10-30,2.26
David ',"Please change the map/location functionality so that one tap anywhere on the lower half of the screen immediately makes it full screen with large text. At the moment it requires two taps to do this which hardly anyone is going to know. Also add large text ""Tap here for location information"". Great app otherwise.",4,2021-10-28,2.26
Peter Sibilant,"Location map is utterly broken and therefore pointless, and dangerous to rely upon. Just use Google Maps and share your location with a friend via SMS if you're lost.",4,2021-10-26,2.26
J S (Jewlzzz),I can't copy my long-lat or what3words to a text message. Please allow/ encourage copy for this. Data takes less power and signal.,4,2021-10-25,2.26
bruce heather,On a Samsung Galaxy there are already 3 apps that are Orange. This important app should be perhaps red and blue so it stands out on screen.,5,2021-10-14,2.26
That_one_air_guy Pro Youtuber,I havent used it yet... but it looks cool,5,2021-10-09,2.26
Lyndy L,Essential App gives your precise location for Emergency Services personnel to come right to your side. Amazing precision and vitally important when out Bushwalking and in areas of dense scrub.,5,2021-09-20,2.26
broni White,I was recently teaching at a school and a student asked me if they had no credit on there phone does this app still work.,5,2021-09-14,2.26
wayne Brady,What three words will save your life allowing emergency services to locate you quickly,5,2021-09-13,2.26
Bobndi Wyllie,Works as it should. Thanks.,5,2021-09-08,2.26
Tony Ashton,"Twice I have pocket dialled Triple Zero presumably with this app. This is a problem. If I hadn't noticed, the Triple Zero worker would be concerned",3,2021-09-03,2.26
Andrew W,Look good so far,5,2021-08-31,2.26
Sam Fiffer,This is a great app but is there some way of getting the 3 words other than using your gps location. I would like to add the three word for location to evacuation plans.,5,2021-08-30,2.26
McKenzie Therapy & Training,This app is like my former girlfriend's clit....goes off at the slightest touch 😳😃...accidentally sending alerts often,1,2021-08-17,2.26
Just Me Drop in,Good idea. Hope i never need to use it.,5,2021-08-10,2.26
Julie Petersen,"Unable to alter address, picks up the house behind mine and not my home, so useless for me",1,2021-08-08,2.26
John Burton,"GPS detects next door address as My Location, cannot adjust. No good in an emergency!!",3,2021-08-03,2.26
Dave Rawlins,Not really sure how to rate this as I've never had to use it,4,2021-07-13,
Diana Gibson,"Sorry, not happy Jan. what3words is a confusing addition to what was a user-friendly app - since usurping my Emergency+, I have not had a correct street address reflected and I now live about a kilometer away at the entrance to the dog-walking park instead of at an address, with actual Unit #, that used to be reflected. The 3 words applicable to my life vary from front to back door and indeed upstairs to downstairs. Now not confident that the authorities would find me in an emergency.",1,2021-07-05,2.26
Kirsty S (Kirst),Everyone needs this! Used when I came across a vehicle that had hit a poll at night. Was alone in the dark in a rural area and I could tell emergency services where I was. Everyone needs this app,5,2021-07-03,2.26
WILLIAM,"Best App, all my Family has it.",5,2021-06-27,2.26
Denis Smithson,Great app get it ready for when you need it.,5,2021-06-24,2.26
Benjamin Quilliam,"Good start. You need to add a share button to copy the what3words location, or to automatically share with a person ( via messenger or WhatsApp for example) or even share directly to emergency services. As well, add a live tracking service so that when we are out by ourselves we can share realtime location with a friend. Also have it so it alerts the friend with a notification after X minutes of not moving. Let the tracked user set how many mins of standing still before alert is sent.",3,2021-06-18,2.26
Bryan Mower,"Sitting in Birdsville, the app told me I was in Alice Springs Genius Uninstall",1,2021-06-15,
Hardcastle,Cool,5,2021-06-01,2.26
Trevor Wuoti,I hope it works when needed..,4,2021-05-23,2.26
Stewart Wilson,"Not the smartest design for what is supposed to be an emergency app. For one, and probably most importantly it should 'force start' location services (GPS) rather then relying on user activation. A kid may not know how to do this, or become confused. What3words is a joke. Fine if you speak fluent English, but not everyone does. Why couldn't a system of 2 letters and one number have been implemented instead, such as A3E. Cleary readable and pronounceable by everyone.",2,2021-05-19,2.26
Fay Katthagen,Need to put correct address 7 Waterbrook Close Idalia,4,2021-05-16,2.26
peter greenham,Not accurate with location! At least a minimum of one street away!,2,2021-05-09,2.26
Dazza Morris,Awesome app emergency services helps pinpoint your location by three words marking system easy to repeat over the phone. Just wait upto 30 seconds for it to work the GPS. It gives location without cell connection.,5,2021-04-19,2.26
Simon Victory,"Integrating W3W isn't a crash hot idea. It's literally a proprietary system. Plus codes would have been smarter, conforms more with the Digital Service Standard (due to it being open source) and relies less on people being fluent in English. Not just me though, reading some of the other reviews complaining about the different words appearing suggesting better word combinations, but that's now something that the devs now have zero control over.",2,2021-04-08,2.26
TJ,So useful. Has all the information you need and couldn't make assisting in an emergency easier!,5,2021-04-08,2.26
Ranes Nagaretnam,Great app,5,2021-04-05,2.26
J S,The location was responsive and accurate,5,2021-03-27,2.26
geoff campbell,Great app,5,2021-03-23,2.26
Jim Doherty,Brilliant,5,2021-03-10,2.26
Dawn and Graeme Brady,Appears to be good. I haven't tested it in an actual emergency yet but it got my address right which is a good start.,5,2021-03-01,2.26
Nyree Maffei,"Upon opening the app for the first time it had me located across the street at my neighbours house but I closed and opened again and the location was correct so all good. My concern would be the words used, I watched a few times and some of the words I felt may be too hard to pronounce for some people, so maybe an update could keep words under maybe 5 letters. Otherwise, what a brilliant app :)",4,2021-03-01,2.26
Patrick Hudson,Transmitted SOS signal to my contact several times without me operating it!!,3,2021-02-24,1.26
Dave Curry,My location spot on. Hope I don't have to use it !,5,2021-02-23,2.26
Sylvia Fairhurst,"The concept is great, but location details are incorrect & a few years out of date. My address dosent exist on this app at all. Until the app is updated, it's useless for Emergency services &clients",1,2021-02-17,2.26
Kim Fawcett,"I've just downloaded the app and it has located me in the wrong place at the other end of the street I live on. Not sure if that is normal, but not encouraging.",2,2021-02-08,2.26
Tony Haigh,Helpful,5,2021-02-08,2.26
Irene D,"ALL FONTS NEED TO BE MUCH, MUCH, MUCH LARGER. I need glasses to read, but in an emergency may not have them or be able to reach them. The app doesn't allow ""pinching"" the screen to make the print larger. The screen desperately needs to be rearranged so that the info is MUCH MUCH LARGER",1,2021-02-06,2.26
Justin Bussell,Location is inaccurate. I refreshed it three times and it gave me different addresses,2,2021-02-06,
Susan ENNIS,Love the program but was unable to install on this telephone following issue with Google play,1,2021-02-05,2.26
Cheryl Pearson,Saved my life,5,2021-01-31,1.14
Peter Greig,"Never had to use it yet, but like the idea",5,2021-01-30,2.26
John Brydon,Great app but the latitude and longitude numbers are too small for some visual situations. How about displaying large numbers if you tap on them ?,4,2021-01-29,2.26
Rick igloo,maybe one day we would be able to send a SMS emergency alert ??,5,2021-01-26,2.26
Ceci A,"Love the concept, haven't use this in emergency but i think the 3 word concept could be improved to be more inclusive for people with visual disability or non english speaking people...or if you are about to pass out. Say maybe press a button to send a location signal or it reads out the 3 words for the caller.",4,2021-01-20,2.26
Ingolf Schmacke,All and everybody's must have,5,2021-01-19,2.26
Nat L,"Unfortunately, the location is way off. It continues to pin point me on the other side of town which would be a huge problem if it were an actual emergency. The concept is good though, the app itself is very responsive and easy to understand.",3,2021-01-17,2.26
Cameron McKenzie,"Downloaded to consider as an option for an elderly relative in a remote location who may need to call ambulance. Unfortunately, text size defaults are difficult to see and not clear if it can be changed... highly recommend updating to improve usability for sight challenged users and other user groups who could struggle with the interface. We will print what3words co-ordinate for our relatives property and put in their wallet and on their fridge, but not ideal if they are moving around.",2,2021-01-16,2.26
cockneydoll,My husband had a need to call and ambulance. The app did everything it's listed to do and performed well.,5,2021-01-15,2.26
Ken Oliver,"I assumed it would AUTOMATICALLY SMS location to the operator. This is trivially easy to program. Instead it asks you to verbally relay it, with huge opportunity for errors and delay. Useless.",1,2021-01-13,2.26
hayley Neale,"It's putting in my wrong home address while I am at home ,how can U fix this ?",2,2021-01-13,2.26
Cliff Bower,Fortunately I have not had to use this app. However it looks exactly what I would need should the occasion arise.,5,2021-01-09,2.26
Didi Jaeche,Without having actually used it in an emergency ...initially it located me next door but after going back and forth between location and home ( where I was) on the app it adjusted to the correct address. I particularly liked being able to put the location display on large writing. When I wear sunglasses I can only read large print. Also good to press just one button.,5,2021-01-05,2.26
Greg Conn,"Unfortunately this app puts me 7 houses away from my correct location, and there is no way to correct this ,that I can see. Not good enough for an emergency situation. Ill tell emergency my 3 words from that app myself.",2,2021-01-02,2.26
prepressguy from Australia,"It works well for me. Address is spot on each time I check. Thankfully I didn't need to use it for real emergency yet, but it's easy to use and could be very helpful. Thank you",5,2020-12-29,2.26
Jim Filmer,"Location on map appears correct, but address (street number) is incorrect - the inconsistency makes one wonder how this may impact on timely emergency services response in an emergency.",3,2020-12-23,2.26
Sean Austin-Eames,Thanks to the team at the National Triple Zero Awareness Work Group for updating the app. It is now working very well on my phone. Hope I don't have to use it.,5,2020-12-21,2.26
Kevin Nolan,Ever since this app was updated it is now giving incorrect addresses. It is telling me that I'm at 36 when I'm at 47. When I was in a different area it was telling me I was at number 5 when I was at 25 that is a big difference. Not very good if you do not know where you are and need help. You need to look into this and make it more accurate it's not only on this advice it was on two other advice .,3,2020-12-18,2.26
steven J maley,Excellent,5,2020-12-17,2.26
raymond hedland,Coast guard not on list for darwin...,3,2020-12-14,2.26
Chookyblue,So disappointed in the complete change of the logo. Been trying to get people on board and now it looks like a different app. Was so easy to tell people what the old logo looked like. Also had thought the what the words was spam advertising until someone said you can say the words. Who knew about that. More education required.,1,2020-12-12,2.26
Nikki Andjazz,This app now wants my location turned on all the time which I do not want to do so I have decided to uninstall it.,2,2020-12-10,
Bio Diversity Needed Cultural Diversity Save EARTH,A MUST HAVE for Everybody. Automatically sends your Location to Emergengy Services when it really counts. Saves Lives. 🥰,5,2020-12-09,2.23
Daren Forrester,Excellent,5,2020-12-08,2.26
Keith Pye,"Can't really rate this app, updated it n now I can't find this app's icon on my home page",3,2020-12-04,2.26
Ross Beale,Great idea.,5,2020-12-03,2.26
Brú P,Much better and thanks for listening to my queries.,5,2020-12-02,2.24
jan barkla,Before this app was upgraded I had no trouble with it but now it won't open on my phone a Samsung 6. I think it is a very important app and it is very frustrating that I can't get it to work.,1,2020-12-02,2.24
Ron Vriens,"It was brilliant but since the latest update will not open. Samsung Galaxy S6, android 7. Uninstalled and reinstalled the latest 23 Nov version. Still will not open",1,2020-12-01,2.24
Ann Scotten,My location address is wrong!,2,2020-12-01,2.24
Scott Barnard,Text is pretty small by default. I don't think my parents would be able to use it without their glasses.,2,2020-11-30,2.24
Allan Hobbs,This app fails to operate on samsung s5 and s7 mobiles. I am posting this from a Samsung a9 which works fine. Thank you for attending promptly to the issue.,4,2020-11-27,2.23
Paul Johnson,"This app is excellent and it is totally free. Congratulations to the developers for all the effort they put into making this a great experience and reassuring the public of quick responses from a great variety of emergency services available in the app. Thanking you kindly, Paul.",5,2020-11-27,2.24
Roman Blazak,"It shows the property next door, why does it not show my property?",4,2020-11-26,2.23
Grahame Smith,"Updated version (2.24) now works fine. Thanks for the update The app is an important one that I think everyone should have on their phone. Previously I wrote ""I have a Nexus 6P phone running Android 8.1. The old version of the app worked fine but the updated version says ""Emergency Plus has stopped"" I have uninstalled and reinstalled several times but to no avail. The app is a good app and I would like to see it work on my phone again or have some way of rolling back to the previous working version.""",5,2020-11-26,2.24
Gregory Wayne Blomley (Gregles),Spot on,5,2020-11-25,2.24
Peter Drain,"Still keeps closing on my galaxy s7. I've uninstalled & reinstalled it & restarted phone, but still doesn't work",1,2020-11-24,2.23
Graeme Plant,"I am getting the ""stopped working"" message on my Galaxy S6. Reinstalling had no effect.",1,2020-11-24,2.23
Andrew Sweeney,"Love this app, BUT I just moved to a new phone on on Android 10and now app crashes immediately on opening.",3,2020-11-24,2.23
Denice Conyard,My location is showing as the cul-de-sac behind my place and not my address so there should be the ability to change.,3,2020-11-21,2.23
James Mackness,"Map base incorrectly labelling addresses of properties. Otherwise looks like a great idea, but hard to give it a good rating if it will potentially send emergency services to the incorrect address.",1,2020-11-20,2.23
Steve Boak,"Looks like a useful app, but missing a vital warning - nowhere does it warn that it cannot call 000 if there is no phone signal. Also, the colour scheme of the disclaimer makes it just about impossible to read.",4,2020-11-20,2.23
A & J,"Can we get the original app back please, it was great and worked perfectly every time. At the very least change the app colour back to something that stands out, not an orange colour that blends in with every other Google app out there....",2,2020-11-20,2.23
Graham Link,Crashes on startup,1,2020-11-19,2.23
Sam M,"2Nov2020 I tap to open, it opens AND then closes. Useless. 18Nov2020. Thank you very much for the fix! It's working again!",5,2020-11-17,2.23
Gary Johnson,Since the last update it crashes straight away everytime.,1,2020-11-17,2.23
Petr Hrasky,"Using this on a Samsung tablet. I do not have What3words showing in the app. Uninstalled and reinstalled but still not showing. I have extracted the APK from the Emergency plus app on my phone, saved this to my tablet, ran it toinstall the app and it now works fine, so I can't believe that it is Google policy that was stopping it before.",4,2020-11-17,2.23
Peter Davies,"Now that the failed update that caused the app to shut down has been fixed I'll change the rating. However, if another update renders the app useless again I will be uninstalling.",5,2020-11-16,2.23
Sam Dee,New update is working just fine 16.11.20,5,2020-11-16,2.23
William Rodwell,"The app which worked once is still not working. It closes immediately it's opened, despite being uninstalled and reinstalled several times. My phone is as galaxy S7 running Android 8.",1,2020-11-15,2.23
Liz Logan,Slow to open and does not fit on screen cutting half of the last three words off. Font is set to smallest. Not confident in using it in an emergency situation. Hope its just a settings thing. I have a galaxy s9,1,2020-11-15,2.23
Patrick Morrissey,"I just downloaded the latest update and the app won't open, just crashes on start-up. Android phone. Update... Version 2.23 is now working on my phone (Android 7.1.1) thanks for fixing it.",5,2020-11-15,2.23
Bonnie Glendon,"Can someone help. I have uninstalled then reinstalled, turned phone on and off and the app still won't open with s comment saying the app has stopped working. Any help would be great. Yes my phone is samsung s7. It used to work on same phone but not now and you had mentioned problems with 7 and 8. Looking forward to having it back. Thanks I now have it back as my app. So glad it's back.",1,2020-11-15,2.23
Myboys Rgt,Preferred the look of previous emergency app. It was clear to see that it was for the emergency services. The new look app is unclear and meaningles.,1,2020-11-14,2.23
Judy Anne,Unable to access this new emergancy plus app. Samsung 7,1,2020-11-14,
Mikey Strikey,"Sad that an app can have so much negativity attached to it just for an upgrade fault. Now its fixed... those negative votes should be removed. Have not had an emergency yet, but the App works fine for me. Seems there was a genuine fault, but latest version as of 14/11/20 is working fine on my 2 year old MotoG7 phone. Simply tap the App.... and then tap the 000 button (or other if you wish) and you are ready to communicate with the operator. At the bottom of the screen was my exact position... wow. How good is that? I mean if you are lost, it is also helpul to see where you are. Should be compulsery for all phones in Oz. For a lousy $1.29 it is almost classed as free. Thanks to the providers of this app... feel safer already lol. Will be getting my partner connected also asap. BTW... only reason I get this is because saw it on TV this morning. Thanks channel 9 (smile).",5,2020-11-14,2.23
Graham James,The app appears to now work following an upgrade.,3,2020-11-14,2.23
Margaret Isola,"Works well again with the latest update! I've recommended to family and friends, I think all Aussies should have this app on the home screen of their phone.",5,2020-11-14,2.23
Ken-Tze Koh,App doesn't open,1,2020-11-14,2.23
Nicolette Rosa,Awesome idea. The only downside is on my phone when i increase the 3word font size it cuts them off on the bottom on the home screen.,4,2020-11-13,2.23
moya Jones,I'm trying to install this Emergency Plus app and it doesn't go past install it won't open keeps shutting down fix it,1,2020-11-13,
diane morris,Just updated my working app and now does not work... apparently the glitch still has not been fixed.,4,2020-11-13,2.23
David Nowlan,"It is not opening on my phone. Galaxy S7, Android v7. The fix has worked.",5,2020-11-13,2.23
Monika Thumerer,"All fixed thank you. But... when you open the app, the heading is very faded and very hard to read. Is it possible to change the colour.",5,2020-11-13,2.23
aussie43,"The latest revision of the app looks OK on a 6.7"" screen. On a 5.2"" screen the wording of the location and the co-ordinates are on top of each other. The 3 words are too small to see. Trying to touch or to move the text to see it clearly has no effect. The only helpful thing is to touch the map - but who knows that? On the following screen, the address, co-ordinates and the 3 words are visible as they should be. The location on the map is not shown, because it is not centered, and is out of bounds of the frame. The 3 word system is smart, however, as I hold the phone, the words are changing constantly. This could lead to misunderstanding with the operator. Australia is a developed and wealthy country. It should adopt a system where the location of the phone is sent out on a touch of a button. Can't imagine a person suffering stroke being able to operate this app and read out anything correctly.",3,2020-11-13,2.23
Stephen Walsh,"Installed app 13/11/2020, app opens and immediately crashes. So I can't really express an opinion on it because it on't work.",3,2020-11-13,2.23
Teus Baggerman,Update: 13 Nov 2020 It is finally fixed and it works now. Doesn't work on my Samsung S5 I tried to install again on 12 Nov 2020 and it doesn't open. They said it was fixed. No it isn't.,2,2020-11-12,2.23
Kim Shephard,"Please consider restoring the previous app icon. The current one is useless, meaningless and plain ugly. The older icon immediately identifies the app as an Emergency App. Many others have commented on this issue.",4,2020-11-12,2.22
Neil Cochran,This app has just been updated but it still does not work on my Samsung S7 edge Problem solved. App now working as before. Several new good features added to this important app,4,2020-11-12,2.23
Liz Hobbs,new version all good on Samsung S5. thank you for your speedy response.,4,2020-11-12,2.23
David Clegg,"The updated app closes as soon as I open it. Samsung s7. Reply from google, an identified issue with android 7 and 8. Will be an update soon. Thank you. Updated 12 Nov. Now works fine. Thank you.",5,2020-11-12,2.23
helenjena,"New version doesn't open on my phone! Real issue for me as I work as a pool lifeguard. Also, the new logo is not an improvement, unnecessary. Thank you - issue fixed plus 3 word location technology added.",5,2020-11-12,2.23
Matthew Clarke,"Since the new update, the app will not open and says ""Unfortunately, Emergency Plus has stopped working"" immediately. Worked great before and haved used in the past as I am in the emergency services. I have a Galaxy Note 4. Thankyou for your reply. Updated to the latest version and the problems are fixed and working fine, thank you.",5,2020-11-12,2.23
Gordon Norris,So. Update has been live for 2 months. Still not fixed. Any chance it will be fixed before the up coming fire season . Update 12/11/20 Still wont load. App closes even after latest update,1,2020-11-12,2.23
John,"Previously the app wouldn't work on Android 6. I previously posted a 1star rating with a comment. Developers listened and afer a re-install, it works.",5,2020-11-12,2.23
Alex Cole,The below issue has now been fixed and the app is now working on my phone. I am using Android 8.0.0 The previous version of the app worked great. This version won't open. Very disappointing for an Emergency app,5,2020-11-12,2.23
Robert Smith,Now working again. but location is not correct.,1,2020-11-12,2.23
Ken Ryan,Very useful,5,2020-11-12,2.23
Darren Wilson,"Thanks for fixing the bug guys,the app works very well & I think the changes are great..well done..10/10 guys.",5,2020-11-11,2.23
Rebecca Hook,App crashes when I try to open it. Uninstalled app and reinstalled app with still the same problem 11/11/2020 Thanks for fixing above issue with the update today. GPS is slightly out by only 1 house though.,4,2020-11-11,2.23
Ron Andrews,Broken for 2 updates in a row for Android 8 users. Now how do I get help when I'm dying in a ditch on the side of the road?,1,2020-11-11,2.23
Simon Collingwood,What three words function is great!,5,2020-11-11,2.23
Alan Smith,"The new app like many other users found does not work. Could we have the old app back until such time as you get it fixed, lives are at stake. The old app worked great. As they say if it ain't broke don't fix it.",1,2020-11-11,
Paul Alford,"No, I wouldn't recommend this app anymore. It worked great before update i don't remember performing, now, i can't even use it, just says it's stopped. Why change something so important that doesn't need changing?",1,2020-11-11,2.22
William Hicks,"Have had this app for many years, I have a Samsung 9, since the update this app has become totally useless, very disappointing!!!!",1,2020-11-10,2.22
David Lillicot,Useless. A waste of my Time. Doesn't work.,1,2020-11-10,2.22
lisa mcguinness,"Used to work fine, but now won't open on my Android",1,2020-11-10,
A Google user,This app was really good before it was updated. Now on my android phone the lat and long is unreadable Also what happened to all the other info like poisons centre.,1,2020-11-10,2.22
Rookie,"App still works on my Android, W3W is a great introduction. However, when increasing the text size, it reaches a point where it won't display in the screen properly, as there's no ability to scroll down - yet lots of wasted up the top. Biggest complaint of the update is the icon change - more modern yes, but isn't obvious at all like the original that it's an emergency app. Even the new icon being red would be a better start. It seems to be a common piece of feedback from a lot of users",3,2020-11-09,2.22
David Bush,"Since last update,will not start. Tried to use during EMERGENCY 2 days ago and would not work.",1,2020-11-09,
Bronwyn Patton,"This was a very useful app. Reliable and accurate. Now upgraded and totally useless. Unable to open, no mapping or coordinates Even the icon is not as distinctive. Please find a fix as soon as possible. Thank you.",1,2020-11-09,2.22
Charles Linsley,"This was a great app. Worked first time every time, anywhere. The new version is extremely disappointing. Have installed/uninstalled unsuccessfully numerous times in an attempt to get it to work. Even the icon is not as distinctive as the previous version. Used to recommend often during training courses. Please fix as soon as possible.",1,2020-11-09,
Gert n Gomez Travelling on,wont download,1,2020-11-09,1.26
Rod How,"I had the old emergency app which was good, but then it was replaced by this one which won't open on my Samsung s5. So now I don't have an emergency app.",1,2020-11-09,
Ken Vernon,Doesn't open,1,2020-11-09,2.22
Camille de Lacy Peek,Continually stops!! Please rectify urgently!,1,2020-11-09,2.22
Graham Fildes,Until very recently it worked well on my Galaxy. Not now grrrr. Just fails immediately and has to be closed. Currently useless.,1,2020-11-09,2.22
kyl kj,Newest update fails to open now matter what I do. That's a problem for an emergency app.,1,2020-11-08,2.22
Gary McCrann,"Can't even open app, keeps crashing.",1,2020-11-08,2.22
Harold Hippe,Can't download the app,1,2020-11-08,2.22
Vance Skinner,Wont install,1,2020-11-08,1.26
Peter Staubli,"Had this app for a long time. Now, since the recent changes, app WONT OPEN!",1,2020-11-08,1.26
ANN KENYON,"Used to work very well and was a reassuring app. Since the icon design changed and went orange, it's just nothing. It needs emergency repair especially for country travel and elderly.",1,2020-11-08,2.22
Lex Greenhalgh,"Similar to last comment. Had for years, since update will not work.",1,2020-11-08,1.11
Ray Johnston,"This is a life saving app and you can't get it working, very poor action not checking before release. It may be you that might need your life saved in a remote area. You people are supposed to be experts, fix it!",1,2020-11-07,2.22
Rhino Plavic,App keeps dropping out.,1,2020-11-07,2.22
Rob Corke,App won't open any more on Android 7 running on Moto g4+. An app like this should run on even the ancient versions of an O/S - we don't all feel compelled to by a new phone just because!,1,2020-11-07,
John Orlowski,It can not be open!!!!,1,2020-11-07,2.22
KayBay,doesn't work after upgrade.,1,2020-11-07,
Contarini Family,It use to work up until a month ago. No longer works.,1,2020-11-07,1.26
Jenny Branchi,Newupdatedappwillnotopen,1,2020-11-07,2.22
Tony Maruca,Keeps closing when i try to open app.,1,2020-11-07,2.22
jac dee,"new app ,updated 2 days ago will not run failz and stopps on oening every time, was great now just bloat..",1,2020-11-06,2.22
