,SENTIMENT,REVIEW,REVIEW_punctuation,REVIEW_punctuation_tokenized,REVIEW_punctuation_tokenized_sw,REVIEW_punctuation_tokenized_sw_stemmed,REVIEW_punctuation_tokenized_sw_lemmatized
10,positive,Saved my life twice now how do you recommend it LIFE SAVING,Saved my life twice now how do you recommend it LIFE SAVING,"['saved', 'my', 'life', 'twice', 'now', 'how', 'do', 'you', 'recommend', 'it', 'life', 'saving']","['saved', 'life', 'twice', 'recommend', 'life', 'saving']","['save', 'life', 'twice', 'recommend', 'life', 'save']","['saved', 'life', 'twice', 'recommend', 'life', 'saving']"
11,positive,"The app isn't working right since last update. Map and numbers are half covered up and can't read 3 words at all as its so small. Please bring back the older version, or explain how I can revert it back as it no longer works",The app isnt working right since last update Map and numbers are half covered up and cant read 3 words at all as its so small Please bring back the older version or explain how I can revert it back as it no longer works,"['the', 'app', 'isnt', 'working', 'right', 'since', 'last', 'update', 'map', 'and', 'numbers', 'are', 'half', 'covered', 'up', 'and', 'cant', 'read', '3', 'words', 'at', 'all', 'as', 'its', 'so', 'small', 'please', 'bring', 'back', 'the', 'older', 'version', 'or', 'explain', 'how', 'i', 'can', 'revert', 'it', 'back', 'as', 'it', 'no', 'longer', 'works']","['app', 'isnt', 'working', 'right', 'since', 'last', 'update', 'map', 'numbers', 'half', 'covered', 'cant', 'read', '3', 'words', 'small', 'please', 'bring', 'back', 'older', 'version', 'explain', 'revert', 'back', 'longer', 'works']","['app', 'isnt', 'work', 'right', 'sinc', 'last', 'updat', 'map', 'number', 'half', 'cover', 'cant', 'read', '3', 'word', 'small', 'pleas', 'bring', 'back', 'older', 'version', 'explain', 'revert', 'back', 'longer', 'work']","['app', 'isnt', 'working', 'right', 'since', 'last', 'update', 'map', 'number', 'half', 'covered', 'cant', 'read', '3', 'word', 'small', 'please', 'bring', 'back', 'older', 'version', 'explain', 'revert', 'back', 'longer', 'work']"
12,negative,I just installed this and it has me at the wrong address,I just installed this and it has me at the wrong address,"['i', 'just', 'installed', 'this', 'and', 'it', 'has', 'me', 'at', 'the', 'wrong', 'address']","['installed', 'wrong', 'address']","['instal', 'wrong', 'address']","['installed', 'wrong', 'address']"
13,neutral,life saving,life saving,"['life', 'saving']","['life', 'saving']","['life', 'save']","['life', 'saving']"
14,neutral,"As a motorcycle rider,this is an invaluable app to have on my phone",As a motorcycle riderthis is an invaluable app to have on my phone,"['as', 'a', 'motorcycle', 'riderthis', 'is', 'an', 'invaluable', 'app', 'to', 'have', 'on', 'my', 'phone']","['motorcycle', 'riderthis', 'invaluable', 'app', 'phone']","['motorcycl', 'riderthi', 'invalu', 'app', 'phone']","['motorcycle', 'riderthis', 'invaluable', 'app', 'phone']"
15,neutral,"Crashes, unable to open",Crashes unable to open,"['crashes', 'unable', 'to', 'open']","['crashes', 'unable', 'open']","['crash', 'unabl', 'open']","['crash', 'unable', 'open']"
16,negative,"Location is about 500m out. In a residential area, this would have emergency services turning up to the wrong house -in my case half a block away and the wrong side of the street!",Location is about 500m out In a residential area this would have emergency services turning up to the wrong house in my case half a block away and the wrong side of the street,"['location', 'is', 'about', '500m', 'out', 'in', 'a', 'residential', 'area', 'this', 'would', 'have', 'emergency', 'services', 'turning', 'up', 'to', 'the', 'wrong', 'house', 'in', 'my', 'case', 'half', 'a', 'block', 'away', 'and', 'the', 'wrong', 'side', 'of', 'the', 'street']","['location', '500m', 'residential', 'area', 'would', 'emergency', 'services', 'turning', 'wrong', 'house', 'case', 'half', 'block', 'away', 'wrong', 'side', 'street']","['locat', '500m', 'residenti', 'area', 'would', 'emerg', 'servic', 'turn', 'wrong', 'hous', 'case', 'half', 'block', 'away', 'wrong', 'side', 'street']","['location', '500m', 'residential', 'area', 'would', 'emergency', 'service', 'turning', 'wrong', 'house', 'case', 'half', 'block', 'away', 'wrong', 'side', 'street']"
17,negative,This is a must have. If your unsure of the address were the emergency is just touch the app. There it is. All you need to get help.,This is a must have If your unsure of the address were the emergency is just touch the app There it is All you need to get help,"['this', 'is', 'a', 'must', 'have', 'if', 'your', 'unsure', 'of', 'the', 'address', 'were', 'the', 'emergency', 'is', 'just', 'touch', 'the', 'app', 'there', 'it', 'is', 'all', 'you', 'need', 'to', 'get', 'help']","['must', 'unsure', 'address', 'emergency', 'touch', 'app', 'need', 'get', 'help']","['must', 'unsur', 'address', 'emerg', 'touch', 'app', 'need', 'get', 'help']","['must', 'unsure', 'address', 'emergency', 'touch', 'app', 'need', 'get', 'help']"
18,positive,Most useful feature of the app GPS cordinates of the current location which is useful in an emergency.,Most useful feature of the app GPS cordinates of the current location which is useful in an emergency,"['most', 'useful', 'feature', 'of', 'the', 'app', 'gps', 'cordinates', 'of', 'the', 'current', 'location', 'which', 'is', 'useful', 'in', 'an', 'emergency']","['useful', 'feature', 'app', 'gps', 'cordinates', 'current', 'location', 'useful', 'emergency']","['use', 'featur', 'app', 'gp', 'cordin', 'current', 'locat', 'use', 'emerg']","['useful', 'feature', 'app', 'gps', 'cordinates', 'current', 'location', 'useful', 'emergency']"
19,positive,Most impressed,Most impressed,"['most', 'impressed']",['impressed'],['impress'],['impressed']
20,positive,Awesome app great to have on your phone,Awesome app great to have on your phone,"['awesome', 'app', 'great', 'to', 'have', 'on', 'your', 'phone']","['awesome', 'app', 'great', 'phone']","['awesom', 'app', 'great', 'phone']","['awesome', 'app', 'great', 'phone']"
21,neutral,"Not displaying my location correctly, more than 3km out.",Not displaying my location correctly more than 3km out,"['not', 'displaying', 'my', 'location', 'correctly', 'more', 'than', '3km', 'out']","['displaying', 'location', 'correctly', '3km']","['display', 'locat', 'correctli', '3km']","['displaying', 'location', 'correctly', '3km']"
22,negative,"Your app sometimes displays the ""what3words"" text wrong between the ""Home"" screen and the ""My Location"" screen. At times on the ""My Location"" screen, the 3rd word is missing letters at the end of the word. But on the ""Home"" screen all letters appear. Thus, different words can be displayed when at the same location on the 2 different screens. If this review is monitored and your require clarification I have screenshots to illustrate.",Your app sometimes displays the what3words text wrong between the Home screen and the My Location screen At times on the My Location screen the 3rd word is missing letters at the end of the word But on the Home screen all letters appear Thus different words can be displayed when at the same location on the 2 different screens If this review is monitored and your require clarification I have screenshots to illustrate,"['your', 'app', 'sometimes', 'displays', 'the', 'what3words', 'text', 'wrong', 'between', 'the', 'home', 'screen', 'and', 'the', 'my', 'location', 'screen', 'at', 'times', 'on', 'the', 'my', 'location', 'screen', 'the', '3rd', 'word', 'is', 'missing', 'letters', 'at', 'the', 'end', 'of', 'the', 'word', 'but', 'on', 'the', 'home', 'screen', 'all', 'letters', 'appear', 'thus', 'different', 'words', 'can', 'be', 'displayed', 'when', 'at', 'the', 'same', 'location', 'on', 'the', '2', 'different', 'screens', 'if', 'this', 'review', 'is', 'monitored', 'and', 'your', 'require', 'clarification', 'i', 'have', 'screenshots', 'to', 'illustrate']","['app', 'sometimes', 'displays', 'what3words', 'text', 'wrong', 'home', 'screen', 'location', 'screen', 'times', 'location', 'screen', '3rd', 'word', 'missing', 'letters', 'end', 'word', 'home', 'screen', 'letters', 'appear', 'thus', 'different', 'words', 'displayed', 'location', '2', 'different', 'screens', 'review', 'monitored', 'require', 'clarification', 'screenshots', 'illustrate']","['app', 'sometim', 'display', 'what3word', 'text', 'wrong', 'home', 'screen', 'locat', 'screen', 'time', 'locat', 'screen', '3rd', 'word', 'miss', 'letter', 'end', 'word', 'home', 'screen', 'letter', 'appear', 'thu', 'differ', 'word', 'display', 'locat', '2', 'differ', 'screen', 'review', 'monitor', 'requir', 'clarif', 'screenshot', 'illustr']","['app', 'sometimes', 'display', 'what3words', 'text', 'wrong', 'home', 'screen', 'location', 'screen', 'time', 'location', 'screen', '3rd', 'word', 'missing', 'letter', 'end', 'word', 'home', 'screen', 'letter', 'appear', 'thus', 'different', 'word', 'displayed', 'location', '2', 'different', 'screen', 'review', 'monitored', 'require', 'clarification', 'screenshots', 'illustrate']"
23,positive,Awesome... everyone should have this app as it may just save your life or the life of a loved one .,Awesome everyone should have this app as it may just save your life or the life of a loved one ,"['awesome', 'everyone', 'should', 'have', 'this', 'app', 'as', 'it', 'may', 'just', 'save', 'your', 'life', 'or', 'the', 'life', 'of', 'a', 'loved', 'one', '']","['awesome', 'everyone', 'app', 'may', 'save', 'life', 'life', 'loved', 'one', '']","['awesom', 'everyon', 'app', 'may', 'save', 'life', 'life', 'love', 'one', '']","['awesome', 'everyone', 'app', 'may', 'save', 'life', 'life', 'loved', 'one', '']"
24,positive,Thank you You,Thank you You,"['thank', 'you', 'you']",['thank'],['thank'],['thank']
25,negative,"Info blurb says (in the ""app permissions"" section) that you can disable access to permissions in settings. After downloading, the ONLY settings option is to change the font size of GPS coordinates... a blatant lie - not cool. Why should this app need access to the storage of my phone??",Info blurb says in the app permissions section that you can disable access to permissions in settings After downloading the ONLY settings option is to change the font size of GPS coordinates a blatant lie  not cool Why should this app need access to the storage of my phone,"['info', 'blurb', 'says', 'in', 'the', 'app', 'permissions', 'section', 'that', 'you', 'can', 'disable', 'access', 'to', 'permissions', 'in', 'settings', 'after', 'downloading', 'the', 'only', 'settings', 'option', 'is', 'to', 'change', 'the', 'font', 'size', 'of', 'gps', 'coordinates', 'a', 'blatant', 'lie', 'not', 'cool', 'why', 'should', 'this', 'app', 'need', 'access', 'to', 'the', 'storage', 'of', 'my', 'phone']","['info', 'blurb', 'says', 'app', 'permissions', 'section', 'disable', 'access', 'permissions', 'settings', 'downloading', 'settings', 'option', 'change', 'font', 'size', 'gps', 'coordinates', 'blatant', 'lie', 'cool', 'app', 'need', 'access', 'storage', 'phone']","['info', 'blurb', 'say', 'app', 'permiss', 'section', 'disabl', 'access', 'permiss', 'set', 'download', 'set', 'option', 'chang', 'font', 'size', 'gp', 'coordin', 'blatant', 'lie', 'cool', 'app', 'need', 'access', 'storag', 'phone']","['info', 'blurb', 'say', 'app', 'permission', 'section', 'disable', 'access', 'permission', 'setting', 'downloading', 'setting', 'option', 'change', 'font', 'size', 'gps', 'coordinate', 'blatant', 'lie', 'cool', 'app', 'need', 'access', 'storage', 'phone']"
26,negative,"The so is generally good. I'd give it 5 stars but... the app has no exit option. Once started this app runs continuously until a Force Stop is used in settings, applications. This app only needs to run on demand NOT continuously. Please fix this flaw. It affects battery.",The so is generally good Id give it 5 stars but the app has no exit option Once started this app runs continuously until a Force Stop is used in settings applications This app only needs to run on demand NOT continuously Please fix this flaw It affects battery,"['the', 'so', 'is', 'generally', 'good', 'id', 'give', 'it', '5', 'stars', 'but', 'the', 'app', 'has', 'no', 'exit', 'option', 'once', 'started', 'this', 'app', 'runs', 'continuously', 'until', 'a', 'force', 'stop', 'is', 'used', 'in', 'settings', 'applications', 'this', 'app', 'only', 'needs', 'to', 'run', 'on', 'demand', 'not', 'continuously', 'please', 'fix', 'this', 'flaw', 'it', 'affects', 'battery']","['generally', 'good', 'id', 'give', '5', 'stars', 'app', 'exit', 'option', 'started', 'app', 'runs', 'continuously', 'force', 'stop', 'used', 'settings', 'applications', 'app', 'needs', 'run', 'demand', 'continuously', 'please', 'fix', 'flaw', 'affects', 'battery']","['gener', 'good', 'id', 'give', '5', 'star', 'app', 'exit', 'option', 'start', 'app', 'run', 'continu', 'forc', 'stop', 'use', 'set', 'applic', 'app', 'need', 'run', 'demand', 'continu', 'pleas', 'fix', 'flaw', 'affect', 'batteri']","['generally', 'good', 'id', 'give', '5', 'star', 'app', 'exit', 'option', 'started', 'app', 'run', 'continuously', 'force', 'stop', 'used', 'setting', 'application', 'app', 'need', 'run', 'demand', 'continuously', 'please', 'fix', 'flaw', 'affect', 'battery']"
27,positive,"Just installed the app. My street number is 20. The app says I am 22, and I am sitting in the middle of my house.",Just installed the app My street number is 20 The app says I am 22 and I am sitting in the middle of my house,"['just', 'installed', 'the', 'app', 'my', 'street', 'number', 'is', '20', 'the', 'app', 'says', 'i', 'am', '22', 'and', 'i', 'am', 'sitting', 'in', 'the', 'middle', 'of', 'my', 'house']","['installed', 'app', 'street', 'number', '20', 'app', 'says', '22', 'sitting', 'middle', 'house']","['instal', 'app', 'street', 'number', '20', 'app', 'say', '22', 'sit', 'middl', 'hous']","['installed', 'app', 'street', 'number', '20', 'app', 'say', '22', 'sitting', 'middle', 'house']"
28,negative,I havent use it yet. Is there anyway/any app that can work from satellite signal on the phone where has no reception? Just for emergency in remoted area,I havent use it yet Is there anywayany app that can work from satellite signal on the phone where has no reception Just for emergency in remoted area,"['i', 'havent', 'use', 'it', 'yet', 'is', 'there', 'anywayany', 'app', 'that', 'can', 'work', 'from', 'satellite', 'signal', 'on', 'the', 'phone', 'where', 'has', 'no', 'reception', 'just', 'for', 'emergency', 'in', 'remoted', 'area']","['havent', 'use', 'yet', 'anywayany', 'app', 'work', 'satellite', 'signal', 'phone', 'reception', 'emergency', 'remoted', 'area']","['havent', 'use', 'yet', 'anywayani', 'app', 'work', 'satellit', 'signal', 'phone', 'recept', 'emerg', 'remot', 'area']","['havent', 'use', 'yet', 'anywayany', 'app', 'work', 'satellite', 'signal', 'phone', 'reception', 'emergency', 'remoted', 'area']"
29,neutral,000 should be swappable with the national relay service. All together items should be swappable on the first page,000 should be swappable with the national relay service All together items should be swappable on the first page,"['000', 'should', 'be', 'swappable', 'with', 'the', 'national', 'relay', 'service', 'all', 'together', 'items', 'should', 'be', 'swappable', 'on', 'the', 'first', 'page']","['000', 'swappable', 'national', 'relay', 'service', 'together', 'items', 'swappable', 'first', 'page']","['000', 'swappabl', 'nation', 'relay', 'servic', 'togeth', 'item', 'swappabl', 'first', 'page']","['000', 'swappable', 'national', 'relay', 'service', 'together', 'item', 'swappable', 'first', 'page']"
30,positive,Worth having it.,Worth having it,"['worth', 'having', 'it']",['worth'],['worth'],['worth']
31,positive,"Great system, easy to use.",Great system easy to use,"['great', 'system', 'easy', 'to', 'use']","['great', 'system', 'easy', 'use']","['great', 'system', 'easi', 'use']","['great', 'system', 'easy', 'use']"
32,neutral,A must have for all,A must have for all,"['a', 'must', 'have', 'for', 'all']",['must'],['must'],['must']
33,positive,"Great app spot on for locations, it is really good to have",Great app spot on for locations it is really good to have,"['great', 'app', 'spot', 'on', 'for', 'locations', 'it', 'is', 'really', 'good', 'to', 'have']","['great', 'app', 'spot', 'locations', 'really', 'good']","['great', 'app', 'spot', 'locat', 'realli', 'good']","['great', 'app', 'spot', 'location', 'really', 'good']"
34,positive,"Great and simple app, but accessibility is poor. It would be vastly better for older folk (or the vision impaired) if the required information wasn't in tiny text that's hard to read. It wastes a lot of screen space that could be better used.",Great and simple app but accessibility is poor It would be vastly better for older folk or the vision impaired if the required information wasnt in tiny text thats hard to read It wastes a lot of screen space that could be better used,"['great', 'and', 'simple', 'app', 'but', 'accessibility', 'is', 'poor', 'it', 'would', 'be', 'vastly', 'better', 'for', 'older', 'folk', 'or', 'the', 'vision', 'impaired', 'if', 'the', 'required', 'information', 'wasnt', 'in', 'tiny', 'text', 'thats', 'hard', 'to', 'read', 'it', 'wastes', 'a', 'lot', 'of', 'screen', 'space', 'that', 'could', 'be', 'better', 'used']","['great', 'simple', 'app', 'accessibility', 'poor', 'would', 'vastly', 'better', 'older', 'folk', 'vision', 'impaired', 'required', 'information', 'wasnt', 'tiny', 'text', 'thats', 'hard', 'read', 'wastes', 'lot', 'screen', 'space', 'could', 'better', 'used']","['great', 'simpl', 'app', 'access', 'poor', 'would', 'vastli', 'better', 'older', 'folk', 'vision', 'impair', 'requir', 'inform', 'wasnt', 'tini', 'text', 'that', 'hard', 'read', 'wast', 'lot', 'screen', 'space', 'could', 'better', 'use']","['great', 'simple', 'app', 'accessibility', 'poor', 'would', 'vastly', 'better', 'older', 'folk', 'vision', 'impaired', 'required', 'information', 'wasnt', 'tiny', 'text', 'thats', 'hard', 'read', 'waste', 'lot', 'screen', 'space', 'could', 'better', 'used']"
35,positive,Good to use easy to connect with people,Good to use easy to connect with people,"['good', 'to', 'use', 'easy', 'to', 'connect', 'with', 'people']","['good', 'use', 'easy', 'connect', 'people']","['good', 'use', 'easi', 'connect', 'peopl']","['good', 'use', 'easy', 'connect', 'people']"
