,SENTIMENT,REVIEW,REVIEW_punctuation,REVIEW_punctuation_tokenized,REVIEW_punctuation_tokenized_sw,REVIEW_punctuation_tokenized_sw_stemmed,REVIEW_punctuation_tokenized_sw_lemmatized
15,positive,Great app I'm learning very fast,Great app Im learning very fast,"['great', 'app', 'im', 'learning', 'very', 'fast']","['great', 'app', 'im', 'learning', 'fast']","['great', 'app', 'im', 'learn', 'fast']","['great', 'app', 'im', 'learning', 'fast']"
16,negative,Weak. And the Ads make it worse,Weak And the Ads make it worse,"['weak', 'and', 'the', 'ads', 'make', 'it', 'worse']","['weak', 'ads', 'make', 'worse']","['weak', 'ad', 'make', 'wors']","['weak', 'ad', 'make', 'worse']"
17,negative,My kid died while I watched an ad for SIMCITY!!!!,My kid died while I watched an ad for SIMCITY,"['my', 'kid', 'died', 'while', 'i', 'watched', 'an', 'ad', 'for', 'simcity']","['kid', 'died', 'watched', 'ad', 'simcity']","['kid', 'die', 'watch', 'ad', 'simciti']","['kid', 'died', 'watched', 'ad', 'simcity']"
18,positive,The app is very easy to use.,The app is very easy to use,"['the', 'app', 'is', 'very', 'easy', 'to', 'use']","['app', 'easy', 'use']","['app', 'easi', 'use']","['app', 'easy', 'use']"
19,positive,Love this app,Love this app,"['love', 'this', 'app']","['love', 'app']","['love', 'app']","['love', 'app']"
20,positive,"Under the heading ""About this app"" it states ""The app is ad-free and spam free."" What is the first thing I see when I open the app? A full screen ad. Good thing it wasn't an emergency where every second counted. I mistakenly thought that's what this app was for, emergency first aid. Well played, developers.",Under the heading About this app it states The app is adfree and spam free What is the first thing I see when I open the app A full screen ad Good thing it wasnt an emergency where every second counted I mistakenly thought thats what this app was for emergency first aid Well played developers,"['under', 'the', 'heading', 'about', 'this', 'app', 'it', 'states', 'the', 'app', 'is', 'adfree', 'and', 'spam', 'free', 'what', 'is', 'the', 'first', 'thing', 'i', 'see', 'when', 'i', 'open', 'the', 'app', 'a', 'full', 'screen', 'ad', 'good', 'thing', 'it', 'wasnt', 'an', 'emergency', 'where', 'every', 'second', 'counted', 'i', 'mistakenly', 'thought', 'thats', 'what', 'this', 'app', 'was', 'for', 'emergency', 'first', 'aid', 'well', 'played', 'developers']","['heading', 'app', 'states', 'app', 'adfree', 'spam', 'free', 'first', 'thing', 'see', 'open', 'app', 'full', 'screen', 'ad', 'good', 'thing', 'wasnt', 'emergency', 'every', 'second', 'counted', 'mistakenly', 'thought', 'thats', 'app', 'emergency', 'first', 'aid', 'well', 'played', 'developers']","['head', 'app', 'state', 'app', 'adfre', 'spam', 'free', 'first', 'thing', 'see', 'open', 'app', 'full', 'screen', 'ad', 'good', 'thing', 'wasnt', 'emerg', 'everi', 'second', 'count', 'mistakenli', 'thought', 'that', 'app', 'emerg', 'first', 'aid', 'well', 'play', 'develop']","['heading', 'app', 'state', 'app', 'adfree', 'spam', 'free', 'first', 'thing', 'see', 'open', 'app', 'full', 'screen', 'ad', 'good', 'thing', 'wasnt', 'emergency', 'every', 'second', 'counted', 'mistakenly', 'thought', 'thats', 'app', 'emergency', 'first', 'aid', 'well', 'played', 'developer']"
21,positive,Very helpful,Very helpful,"['very', 'helpful']",['helpful'],['help'],['helpful']
22,positive,"This is a great app for anyone that does not deal with medical situations on a daily basis, and this is also very helpful for active first responders as well.",This is a great app for anyone that does not deal with medical situations on a daily basis and this is also very helpful for active first responders as well,"['this', 'is', 'a', 'great', 'app', 'for', 'anyone', 'that', 'does', 'not', 'deal', 'with', 'medical', 'situations', 'on', 'a', 'daily', 'basis', 'and', 'this', 'is', 'also', 'very', 'helpful', 'for', 'active', 'first', 'responders', 'as', 'well']","['great', 'app', 'anyone', 'deal', 'medical', 'situations', 'daily', 'basis', 'also', 'helpful', 'active', 'first', 'responders', 'well']","['great', 'app', 'anyon', 'deal', 'medic', 'situat', 'daili', 'basi', 'also', 'help', 'activ', 'first', 'respond', 'well']","['great', 'app', 'anyone', 'deal', 'medical', 'situation', 'daily', 'basis', 'also', 'helpful', 'active', 'first', 'responder', 'well']"
23,positive,"This app should indicate ""contains ads"". This is an app that doesn't need to exist: a . PDF would be better in basically every metric.",This app should indicate contains ads This is an app that doesnt need to exist a  PDF would be better in basically every metric,"['this', 'app', 'should', 'indicate', 'contains', 'ads', 'this', 'is', 'an', 'app', 'that', 'doesnt', 'need', 'to', 'exist', 'a', 'pdf', 'would', 'be', 'better', 'in', 'basically', 'every', 'metric']","['app', 'indicate', 'contains', 'ads', 'app', 'doesnt', 'need', 'exist', 'pdf', 'would', 'better', 'basically', 'every', 'metric']","['app', 'indic', 'contain', 'ad', 'app', 'doesnt', 'need', 'exist', 'pdf', 'would', 'better', 'basic', 'everi', 'metric']","['app', 'indicate', 'contains', 'ad', 'app', 'doesnt', 'need', 'exist', 'pdf', 'would', 'better', 'basically', 'every', 'metric']"
24,positive,"Very informative, helpful, use as a learning tool.",Very informative helpful use as a learning tool,"['very', 'informative', 'helpful', 'use', 'as', 'a', 'learning', 'tool']","['informative', 'helpful', 'use', 'learning', 'tool']","['inform', 'help', 'use', 'learn', 'tool']","['informative', 'helpful', 'use', 'learning', 'tool']"
25,positive,Every phone should have this app installed by default. You never know when you might need to save someone's life or someone may need to save your life!,Every phone should have this app installed by default You never know when you might need to save someones life or someone may need to save your life,"['every', 'phone', 'should', 'have', 'this', 'app', 'installed', 'by', 'default', 'you', 'never', 'know', 'when', 'you', 'might', 'need', 'to', 'save', 'someones', 'life', 'or', 'someone', 'may', 'need', 'to', 'save', 'your', 'life']","['every', 'phone', 'app', 'installed', 'default', 'never', 'know', 'might', 'need', 'save', 'someones', 'life', 'someone', 'may', 'need', 'save', 'life']","['everi', 'phone', 'app', 'instal', 'default', 'never', 'know', 'might', 'need', 'save', 'someon', 'life', 'someon', 'may', 'need', 'save', 'life']","['every', 'phone', 'app', 'installed', 'default', 'never', 'know', 'might', 'need', 'save', 'someone', 'life', 'someone', 'may', 'need', 'save', 'life']"
26,positive,App is ok for a resource. However for us that are certified it would be nice if we could have our cards digitized.,App is ok for a resource However for us that are certified it would be nice if we could have our cards digitized,"['app', 'is', 'ok', 'for', 'a', 'resource', 'however', 'for', 'us', 'that', 'are', 'certified', 'it', 'would', 'be', 'nice', 'if', 'we', 'could', 'have', 'our', 'cards', 'digitized']","['app', 'ok', 'resource', 'however', 'us', 'certified', 'would', 'nice', 'could', 'cards', 'digitized']","['app', 'ok', 'resourc', 'howev', 'us', 'certifi', 'would', 'nice', 'could', 'card', 'digit']","['app', 'ok', 'resource', 'however', 'u', 'certified', 'would', 'nice', 'could', 'card', 'digitized']"
27,neutral,Think we used this to research a treatment to use,Think we used this to research a treatment to use,"['think', 'we', 'used', 'this', 'to', 'research', 'a', 'treatment', 'to', 'use']","['think', 'used', 'research', 'treatment', 'use']","['think', 'use', 'research', 'treatment', 'use']","['think', 'used', 'research', 'treatment', 'use']"
28,positive,Don't let me keep I want eternal life I love my life and I want to leave a money to my adopted kids soon I'm a injury survivor surgery nuero when I was 17 9 weeks comatose on life support no consciousness paralyzed miraculous recovery of 68% or body normality makes 40% of mental recovery no drug use as of yesterday I was depressed but I don't want to recolect the holicost so I'm trying to get something to leave behind for my tomatoes growers lol wife mom sisters aunts friends friends pet ownersc,Dont let me keep I want eternal life I love my life and I want to leave a money to my adopted kids soon Im a injury survivor surgery nuero when I was 17 9 weeks comatose on life support no consciousness paralyzed miraculous recovery of 68 or body normality makes 40 of mental recovery no drug use as of yesterday I was depressed but I dont want to recolect the holicost so Im trying to get something to leave behind for my tomatoes growers lol wife mom sisters aunts friends friends pet ownersc,"['dont', 'let', 'me', 'keep', 'i', 'want', 'eternal', 'life', 'i', 'love', 'my', 'life', 'and', 'i', 'want', 'to', 'leave', 'a', 'money', 'to', 'my', 'adopted', 'kids', 'soon', 'im', 'a', 'injury', 'survivor', 'surgery', 'nuero', 'when', 'i', 'was', '17', '9', 'weeks', 'comatose', 'on', 'life', 'support', 'no', 'consciousness', 'paralyzed', 'miraculous', 'recovery', 'of', '68', 'or', 'body', 'normality', 'makes', '40', 'of', 'mental', 'recovery', 'no', 'drug', 'use', 'as', 'of', 'yesterday', 'i', 'was', 'depressed', 'but', 'i', 'dont', 'want', 'to', 'recolect', 'the', 'holicost', 'so', 'im', 'trying', 'to', 'get', 'something', 'to', 'leave', 'behind', 'for', 'my', 'tomatoes', 'growers', 'lol', 'wife', 'mom', 'sisters', 'aunts', 'friends', 'friends', 'pet', 'ownersc']","['dont', 'let', 'keep', 'want', 'eternal', 'life', 'love', 'life', 'want', 'leave', 'money', 'adopted', 'kids', 'soon', 'im', 'injury', 'survivor', 'surgery', 'nuero', '17', '9', 'weeks', 'comatose', 'life', 'support', 'consciousness', 'paralyzed', 'miraculous', 'recovery', '68', 'body', 'normality', 'makes', '40', 'mental', 'recovery', 'drug', 'use', 'yesterday', 'depressed', 'dont', 'want', 'recolect', 'holicost', 'im', 'trying', 'get', 'something', 'leave', 'behind', 'tomatoes', 'growers', 'lol', 'wife', 'mom', 'sisters', 'aunts', 'friends', 'friends', 'pet', 'ownersc']","['dont', 'let', 'keep', 'want', 'etern', 'life', 'love', 'life', 'want', 'leav', 'money', 'adopt', 'kid', 'soon', 'im', 'injuri', 'survivor', 'surgeri', 'nuero', '17', '9', 'week', 'comatos', 'life', 'support', 'conscious', 'paralyz', 'miracul', 'recoveri', '68', 'bodi', 'normal', 'make', '40', 'mental', 'recoveri', 'drug', 'use', 'yesterday', 'depress', 'dont', 'want', 'recolect', 'holicost', 'im', 'tri', 'get', 'someth', 'leav', 'behind', 'tomato', 'grower', 'lol', 'wife', 'mom', 'sister', 'aunt', 'friend', 'friend', 'pet', 'ownersc']","['dont', 'let', 'keep', 'want', 'eternal', 'life', 'love', 'life', 'want', 'leave', 'money', 'adopted', 'kid', 'soon', 'im', 'injury', 'survivor', 'surgery', 'nuero', '17', '9', 'week', 'comatose', 'life', 'support', 'consciousness', 'paralyzed', 'miraculous', 'recovery', '68', 'body', 'normality', 'make', '40', 'mental', 'recovery', 'drug', 'use', 'yesterday', 'depressed', 'dont', 'want', 'recolect', 'holicost', 'im', 'trying', 'get', 'something', 'leave', 'behind', 'tomato', 'grower', 'lol', 'wife', 'mom', 'sister', 'aunt', 'friend', 'friend', 'pet', 'ownersc']"
29,negative,"A bit confused that, in the bleeding quiz, the more severe injury was a scrape on the shoulder instead of blood spurting from a foot.",A bit confused that in the bleeding quiz the more severe injury was a scrape on the shoulder instead of blood spurting from a foot,"['a', 'bit', 'confused', 'that', 'in', 'the', 'bleeding', 'quiz', 'the', 'more', 'severe', 'injury', 'was', 'a', 'scrape', 'on', 'the', 'shoulder', 'instead', 'of', 'blood', 'spurting', 'from', 'a', 'foot']","['bit', 'confused', 'bleeding', 'quiz', 'severe', 'injury', 'scrape', 'shoulder', 'instead', 'blood', 'spurting', 'foot']","['bit', 'confus', 'bleed', 'quiz', 'sever', 'injuri', 'scrape', 'shoulder', 'instead', 'blood', 'spurt', 'foot']","['bit', 'confused', 'bleeding', 'quiz', 'severe', 'injury', 'scrape', 'shoulder', 'instead', 'blood', 'spurting', 'foot']"
30,positive,Helps learning,Helps learning,"['helps', 'learning']","['helps', 'learning']","['help', 'learn']","['help', 'learning']"
31,positive,"I finished all the quizzes within 30 min, made a few mistakes, other than that, this app is useful for these kinds of situations and would recommend",I finished all the quizzes within 30 min made a few mistakes other than that this app is useful for these kinds of situations and would recommend,"['i', 'finished', 'all', 'the', 'quizzes', 'within', '30', 'min', 'made', 'a', 'few', 'mistakes', 'other', 'than', 'that', 'this', 'app', 'is', 'useful', 'for', 'these', 'kinds', 'of', 'situations', 'and', 'would', 'recommend']","['finished', 'quizzes', 'within', '30', 'min', 'made', 'mistakes', 'app', 'useful', 'kinds', 'situations', 'would', 'recommend']","['finish', 'quizz', 'within', '30', 'min', 'made', 'mistak', 'app', 'use', 'kind', 'situat', 'would', 'recommend']","['finished', 'quiz', 'within', '30', 'min', 'made', 'mistake', 'app', 'useful', 'kind', 'situation', 'would', 'recommend']"
32,positive,Such A Good Thing ðŸ‘ ðŸ‘ ðŸ‘Œ ðŸ˜Œ â˜º ðŸ™Œ ðŸ‘,Such A Good Thing ðŸ‘ ðŸ‘ ðŸ‘Œ ðŸ˜Œ â˜º ðŸ™Œ ðŸ‘,"['such', 'a', 'good', 'thing', 'ðÿ', 'ðÿ', 'ðÿ', 'œ', 'ðÿ', 'œ', 'â', 'º', 'ðÿ', 'œ', 'ðÿ', '']","['good', 'thing', 'ðÿ', 'ðÿ', 'ðÿ', 'œ', 'ðÿ', 'œ', 'â', 'º', 'ðÿ', 'œ', 'ðÿ', '']","['good', 'thing', 'ðÿ', 'ðÿ', 'ðÿ', 'œ', 'ðÿ', 'œ', 'â', 'º', 'ðÿ', 'œ', 'ðÿ', '']","['good', 'thing', 'ðÿ', 'ðÿ', 'ðÿ', 'œ', 'ðÿ', 'œ', 'â', 'º', 'ðÿ', 'œ', 'ðÿ', '']"
33,positive,Awesome app for first aid n emergency response,Awesome app for first aid n emergency response,"['awesome', 'app', 'for', 'first', 'aid', 'n', 'emergency', 'response']","['awesome', 'app', 'first', 'aid', 'n', 'emergency', 'response']","['awesom', 'app', 'first', 'aid', 'n', 'emerg', 'respons']","['awesome', 'app', 'first', 'aid', 'n', 'emergency', 'response']"
34,positive,Helps reinforce the training you already have also a great help for anyone not trained in first aid/ CPR. Very helpful.,Helps reinforce the training you already have also a great help for anyone not trained in first aid CPR Very helpful,"['helps', 'reinforce', 'the', 'training', 'you', 'already', 'have', 'also', 'a', 'great', 'help', 'for', 'anyone', 'not', 'trained', 'in', 'first', 'aid', 'cpr', 'very', 'helpful']","['helps', 'reinforce', 'training', 'already', 'also', 'great', 'help', 'anyone', 'trained', 'first', 'aid', 'cpr', 'helpful']","['help', 'reinforc', 'train', 'alreadi', 'also', 'great', 'help', 'anyon', 'train', 'first', 'aid', 'cpr', 'help']","['help', 'reinforce', 'training', 'already', 'also', 'great', 'help', 'anyone', 'trained', 'first', 'aid', 'cpr', 'helpful']"
35,positive,Great tool to have after completing the course.,Great tool to have after completing the course,"['great', 'tool', 'to', 'have', 'after', 'completing', 'the', 'course']","['great', 'tool', 'completing', 'course']","['great', 'tool', 'complet', 'cours']","['great', 'tool', 'completing', 'course']"
36,neutral,Educational,Educational,['educational'],['educational'],['educ'],['educational']
37,positive,Great info.,Great info,"['great', 'info']","['great', 'info']","['great', 'info']","['great', 'info']"
38,positive,I love it.,I love it,"['i', 'love', 'it']",['love'],['love'],['love']
39,neutral,Can't find my certificate,Cant find my certificate,"['cant', 'find', 'my', 'certificate']","['cant', 'find', 'certificate']","['cant', 'find', 'certif']","['cant', 'find', 'certificate']"
40,positive,This was recommended through work. It's a well put together app and serves it's purpose well.,This was recommended through work Its a well put together app and serves its purpose well,"['this', 'was', 'recommended', 'through', 'work', 'its', 'a', 'well', 'put', 'together', 'app', 'and', 'serves', 'its', 'purpose', 'well']","['recommended', 'work', 'well', 'put', 'together', 'app', 'serves', 'purpose', 'well']","['recommend', 'work', 'well', 'put', 'togeth', 'app', 'serv', 'purpos', 'well']","['recommended', 'work', 'well', 'put', 'together', 'app', 'serf', 'purpose', 'well']"
41,neutral,Nothing I need,Nothing I need,"['nothing', 'i', 'need']","['nothing', 'need']","['noth', 'need']","['nothing', 'need']"
42,positive,Lots of great information. The quizzes are very good.,Lots of great information The quizzes are very good,"['lots', 'of', 'great', 'information', 'the', 'quizzes', 'are', 'very', 'good']","['lots', 'great', 'information', 'quizzes', 'good']","['lot', 'great', 'inform', 'quizz', 'good']","['lot', 'great', 'information', 'quiz', 'good']"
43,positive,Like this app ðŸ‘Œ,Like this app ðŸ‘Œ,"['like', 'this', 'app', 'ðÿ', 'œ']","['like', 'app', 'ðÿ', 'œ']","['like', 'app', 'ðÿ', 'œ']","['like', 'app', 'ðÿ', 'œ']"
44,neutral,Test to get the red cross,Test to get the red cross,"['test', 'to', 'get', 'the', 'red', 'cross']","['test', 'get', 'red', 'cross']","['test', 'get', 'red', 'cross']","['test', 'get', 'red', 'cross']"
45,positive,Explanations for the reasoning behind the recommended treatments are very helpful.,Explanations for the reasoning behind the recommended treatments are very helpful,"['explanations', 'for', 'the', 'reasoning', 'behind', 'the', 'recommended', 'treatments', 'are', 'very', 'helpful']","['explanations', 'reasoning', 'behind', 'recommended', 'treatments', 'helpful']","['explan', 'reason', 'behind', 'recommend', 'treatment', 'help']","['explanation', 'reasoning', 'behind', 'recommended', 'treatment', 'helpful']"
46,negative,"Not a very good app to rely on for first aid, but then not being able to rely on the red cross is a hundred year old standard.",Not a very good app to rely on for first aid but then not being able to rely on the red cross is a hundred year old standard,"['not', 'a', 'very', 'good', 'app', 'to', 'rely', 'on', 'for', 'first', 'aid', 'but', 'then', 'not', 'being', 'able', 'to', 'rely', 'on', 'the', 'red', 'cross', 'is', 'a', 'hundred', 'year', 'old', 'standard']","['good', 'app', 'rely', 'first', 'aid', 'able', 'rely', 'red', 'cross', 'hundred', 'year', 'old', 'standard']","['good', 'app', 'reli', 'first', 'aid', 'abl', 'reli', 'red', 'cross', 'hundr', 'year', 'old', 'standard']","['good', 'app', 'rely', 'first', 'aid', 'able', 'rely', 'red', 'cross', 'hundred', 'year', 'old', 'standard']"
47,neutral,I got all my badges and now if something happens I'll know what to do.,I got all my badges and now if something happens Ill know what to do,"['i', 'got', 'all', 'my', 'badges', 'and', 'now', 'if', 'something', 'happens', 'ill', 'know', 'what', 'to', 'do']","['got', 'badges', 'something', 'happens', 'ill', 'know']","['got', 'badg', 'someth', 'happen', 'ill', 'know']","['got', 'badge', 'something', 'happens', 'ill', 'know']"
48,positive,Very valuable information at your fingertips!,Very valuable information at your fingertips,"['very', 'valuable', 'information', 'at', 'your', 'fingertips']","['valuable', 'information', 'fingertips']","['valuabl', 'inform', 'fingertip']","['valuable', 'information', 'fingertip']"
49,positive,"Good source of information, and easy to understand.",Good source of information and easy to understand,"['good', 'source', 'of', 'information', 'and', 'easy', 'to', 'understand']","['good', 'source', 'information', 'easy', 'understand']","['good', 'sourc', 'inform', 'easi', 'understand']","['good', 'source', 'information', 'easy', 'understand']"
50,negative,"Some of the info is good but some is outdated or wrong. The quizzes with stupid, obviously wrong answers are not funny and show lack of care for the seriousness of the issue. Some of the quiz answers are wrong as well. They pull in so much in donations it would be cool to see them put more into this instead of overpaying ceos.",Some of the info is good but some is outdated or wrong The quizzes with stupid obviously wrong answers are not funny and show lack of care for the seriousness of the issue Some of the quiz answers are wrong as well They pull in so much in donations it would be cool to see them put more into this instead of overpaying ceos,"['some', 'of', 'the', 'info', 'is', 'good', 'but', 'some', 'is', 'outdated', 'or', 'wrong', 'the', 'quizzes', 'with', 'stupid', 'obviously', 'wrong', 'answers', 'are', 'not', 'funny', 'and', 'show', 'lack', 'of', 'care', 'for', 'the', 'seriousness', 'of', 'the', 'issue', 'some', 'of', 'the', 'quiz', 'answers', 'are', 'wrong', 'as', 'well', 'they', 'pull', 'in', 'so', 'much', 'in', 'donations', 'it', 'would', 'be', 'cool', 'to', 'see', 'them', 'put', 'more', 'into', 'this', 'instead', 'of', 'overpaying', 'ceos']","['info', 'good', 'outdated', 'wrong', 'quizzes', 'stupid', 'obviously', 'wrong', 'answers', 'funny', 'show', 'lack', 'care', 'seriousness', 'issue', 'quiz', 'answers', 'wrong', 'well', 'pull', 'much', 'donations', 'would', 'cool', 'see', 'put', 'instead', 'overpaying', 'ceos']","['info', 'good', 'outdat', 'wrong', 'quizz', 'stupid', 'obvious', 'wrong', 'answer', 'funni', 'show', 'lack', 'care', 'serious', 'issu', 'quiz', 'answer', 'wrong', 'well', 'pull', 'much', 'donat', 'would', 'cool', 'see', 'put', 'instead', 'overpay', 'ceo']","['info', 'good', 'outdated', 'wrong', 'quiz', 'stupid', 'obviously', 'wrong', 'answer', 'funny', 'show', 'lack', 'care', 'seriousness', 'issue', 'quiz', 'answer', 'wrong', 'well', 'pull', 'much', 'donation', 'would', 'cool', 'see', 'put', 'instead', 'overpaying', 'ceo']"
51,neutral,Not detailed enough,Not detailed enough,"['not', 'detailed', 'enough']","['detailed', 'enough']","['detail', 'enough']","['detailed', 'enough']"
