positive,"Please change the map/location functionality so that one tap anywhere on the lower half of the screen immediately makes it full screen with large text. At the moment it requires two taps to do this which hardly anyone is going to know. Also add large text ""Tap here for location information"". Great app otherwise."
negative,"Location map is utterly broken and therefore pointless, and dangerous to rely upon. Just use Google Maps and share your location with a friend via SMS if you're lost."
positive,I can't copy my long-lat or what3words to a text message. Please allow/ encourage copy for this. Data takes less power and signal.
positive,On a Samsung Galaxy there are already 3 apps that are Orange. This important app should be perhaps red and blue so it stands out on screen.
positive,I havent used it yet... but it looks cool
positive,Essential App gives your precise location for Emergency Services personnel to come right to your side. Amazing precision and vitally important when out Bushwalking and in areas of dense scrub.
negative,I was recently teaching at a school and a student asked me if they had no credit on there phone does this app still work.
positive,What three words will save your life allowing emergency services to locate you quickly
positive,Works as it should. Thanks.
negative,"Twice I have pocket dialled Triple Zero presumably with this app. This is a problem. If I hadn't noticed, the Triple Zero worker would be concerned"
positive,Look good so far
positive,This is a great app but is there some way of getting the 3 words other than using your gps location. I would like to add the three word for location to evacuation plans.
positive,This app is like my former girlfriend's clit....goes off at the slightest touch ðŸ˜³ðŸ˜ƒ...accidentally sending alerts often
positive,Good idea. Hope i never need to use it.
negative,"Unable to alter address, picks up the house behind mine and not my home, so useless for me"
negative,"GPS detects next door address as My Location, cannot adjust. No good in an emergency!!"
negative,Not really sure how to rate this as I've never had to use it
negative,"Sorry, not happy Jan. what3words is a confusing addition to what was a user-friendly app - since usurping my Emergency+, I have not had a correct street address reflected and I now live about a kilometer away at the entrance to the dog-walking park instead of at an address, with actual Unit #, that used to be reflected. The 3 words applicable to my life vary from front to back door and indeed upstairs to downstairs. Now not confident that the authorities would find me in an emergency."
negative,Everyone needs this! Used when I came across a vehicle that had hit a poll at night. Was alone in the dark in a rural area and I could tell emergency services where I was. Everyone needs this app
positive,"Best App, all my Family has it."
positive,Great app get it ready for when you need it.
positive,"Good start. You need to add a share button to copy the what3words location, or to automatically share with a person ( via messenger or WhatsApp for example) or even share directly to emergency services. As well, add a live tracking service so that when we are out by ourselves we can share realtime location with a friend. Also have it so it alerts the friend with a notification after X minutes of not moving. Let the tracked user set how many mins of standing still before alert is sent."
neutral,"Sitting in Birdsville, the app told me I was in Alice Springs Genius Uninstall"
positive,Cool
positive,I hope it works when needed..
negative,"Not the smartest design for what is supposed to be an emergency app. For one, and probably most importantly it should 'force start' location services (GPS) rather then relying on user activation. A kid may not know how to do this, or become confused. What3words is a joke. Fine if you speak fluent English, but not everyone does. Why couldn't a system of 2 letters and one number have been implemented instead, such as A3E. Cleary readable and pronounceable by everyone."
neutral,Need to put correct address 7 Waterbrook Close Idalia
neutral,Not accurate with location! At least a minimum of one street away!
positive,Awesome app emergency services helps pinpoint your location by three words marking system easy to repeat over the phone. Just wait upto 30 seconds for it to work the GPS. It gives location without cell connection.
positive,"Integrating W3W isn't a crash hot idea. It's literally a proprietary system. Plus codes would have been smarter, conforms more with the Digital Service Standard (due to it being open source) and relies less on people being fluent in English. Not just me though, reading some of the other reviews complaining about the different words appearing suggesting better word combinations, but that's now something that the devs now have zero control over."
positive,So useful. Has all the information you need and couldn't make assisting in an emergency easier!
positive,Great app
positive,The location was responsive and accurate
positive,Great app
positive,Brilliant
positive,Appears to be good. I haven't tested it in an actual emergency yet but it got my address right which is a good start.
positive,"Upon opening the app for the first time it had me located across the street at my neighbours house but I closed and opened again and the location was correct so all good. My concern would be the words used, I watched a few times and some of the words I felt may be too hard to pronounce for some people, so maybe an update could keep words under maybe 5 letters. Otherwise, what a brilliant app :)"
neutral,Transmitted SOS signal to my contact several times without me operating it!!
positive,My location spot on. Hope I don't have to use it !
negative,"The concept is great, but location details are incorrect & a few years out of date. My address dosent exist on this app at all. Until the app is updated, it's useless for Emergency services &clients"
negative,"I've just downloaded the app and it has located me in the wrong place at the other end of the street I live on. Not sure if that is normal, but not encouraging."
positive,Helpful
negative,"ALL FONTS NEED TO BE MUCH, MUCH, MUCH LARGER. I need glasses to read, but in an emergency may not have them or be able to reach them. The app doesn't allow ""pinching"" the screen to make the print larger. The screen desperately needs to be rearranged so that the info is MUCH MUCH LARGER"
neutral,Location is inaccurate. I refreshed it three times and it gave me different addresses
positive,Love the program but was unable to install on this telephone following issue with Google play
positive,Saved my life
positive,"Never had to use it yet, but like the idea"
positive,Great app but the latitude and longitude numbers are too small for some visual situations. How about displaying large numbers if you tap on them ?
negative,maybe one day we would be able to send a SMS emergency alert ??
positive,"Love the concept, haven't use this in emergency but i think the 3 word concept could be improved to be more inclusive for people with visual disability or non english speaking people...or if you are about to pass out. Say maybe press a button to send a location signal or it reads out the 3 words for the caller."
neutral,All and everybody's must have
positive,"Unfortunately, the location is way off. It continues to pin point me on the other side of town which would be a huge problem if it were an actual emergency. The concept is good though, the app itself is very responsive and easy to understand."
negative,"Downloaded to consider as an option for an elderly relative in a remote location who may need to call ambulance. Unfortunately, text size defaults are difficult to see and not clear if it can be changed... highly recommend updating to improve usability for sight challenged users and other user groups who could struggle with the interface. We will print what3words co-ordinate for our relatives property and put in their wallet and on their fridge, but not ideal if they are moving around."
positive,My husband had a need to call and ambulance. The app did everything it's listed to do and performed well.
positive,"I assumed it would AUTOMATICALLY SMS location to the operator. This is trivially easy to program. Instead it asks you to verbally relay it, with huge opportunity for errors and delay. Useless."
negative,"It's putting in my wrong home address while I am at home ,how can U fix this ?"
neutral,Fortunately I have not had to use this app. However it looks exactly what I would need should the occasion arise.
positive,Without having actually used it in an emergency ...initially it located me next door but after going back and forth between location and home ( where I was) on the app it adjusted to the correct address. I particularly liked being able to put the location display on large writing. When I wear sunglasses I can only read large print. Also good to press just one button.
negative,"Unfortunately this app puts me 7 houses away from my correct location, and there is no way to correct this ,that I can see. Not good enough for an emergency situation. Ill tell emergency my 3 words from that app myself."
positive,"It works well for me. Address is spot on each time I check. Thankfully I didn't need to use it for real emergency yet, but it's easy to use and could be very helpful. Thank you"
negative,"Location on map appears correct, but address (street number) is incorrect - the inconsistency makes one wonder how this may impact on timely emergency services response in an emergency."
positive,Thanks to the team at the National Triple Zero Awareness Work Group for updating the app. It is now working very well on my phone. Hope I don't have to use it.
positive,Ever since this app was updated it is now giving incorrect addresses. It is telling me that I'm at 36 when I'm at 47. When I was in a different area it was telling me I was at number 5 when I was at 25 that is a big difference. Not very good if you do not know where you are and need help. You need to look into this and make it more accurate it's not only on this advice it was on two other advice .
positive,Excellent
neutral,Coast guard not on list for darwin...
positive,So disappointed in the complete change of the logo. Been trying to get people on board and now it looks like a different app. Was so easy to tell people what the old logo looked like. Also had thought the what the words was spam advertising until someone said you can say the words. Who knew about that. More education required.
negative,This app now wants my location turned on all the time which I do not want to do so I have decided to uninstall it.
positive,A MUST HAVE for Everybody. Automatically sends your Location to Emergengy Services when it really counts. Saves Lives. ðŸ¥°
positive,Excellent
neutral,"Can't really rate this app, updated it n now I can't find this app's icon on my home page"
positive,Great idea.
positive,Much better and thanks for listening to my queries.
negative,Before this app was upgraded I had no trouble with it but now it won't open on my phone a Samsung 6. I think it is a very important app and it is very frustrating that I can't get it to work.
positive,"It was brilliant but since the latest update will not open. Samsung Galaxy S6, android 7. Uninstalled and reinstalled the latest 23 Nov version. Still will not open"
negative,My location address is wrong!
positive,Text is pretty small by default. I don't think my parents would be able to use it without their glasses.
positive,This app fails to operate on samsung s5 and s7 mobiles. I am posting this from a Samsung a9 which works fine. Thank you for attending promptly to the issue.
positive,"This app is excellent and it is totally free. Congratulations to the developers for all the effort they put into making this a great experience and reassuring the public of quick responses from a great variety of emergency services available in the app. Thanking you kindly, Paul."
neutral,"It shows the property next door, why does it not show my property?"
positive,"Updated version (2.24) now works fine. Thanks for the update The app is an important one that I think everyone should have on their phone. Previously I wrote ""I have a Nexus 6P phone running Android 8.1. The old version of the app worked fine but the updated version says ""Emergency Plus has stopped"" I have uninstalled and reinstalled several times but to no avail. The app is a good app and I would like to see it work on my phone again or have some way of rolling back to the previous working version."""
neutral,Spot on
neutral,"Still keeps closing on my galaxy s7. I've uninstalled & reinstalled it & restarted phone, but still doesn't work"
negative,"I am getting the ""stopped working"" message on my Galaxy S6. Reinstalling had no effect."
positive,"Love this app, BUT I just moved to a new phone on on Android 10and now app crashes immediately on opening."
positive,My location is showing as the cul-de-sac behind my place and not my address so there should be the ability to change.
positive,"Map base incorrectly labelling addresses of properties. Otherwise looks like a great idea, but hard to give it a good rating if it will potentially send emergency services to the incorrect address."
negative,"Looks like a useful app, but missing a vital warning - nowhere does it warn that it cannot call 000 if there is no phone signal. Also, the colour scheme of the disclaimer makes it just about impossible to read."
positive,"Can we get the original app back please, it was great and worked perfectly every time. At the very least change the app colour back to something that stands out, not an orange colour that blends in with every other Google app out there...."
neutral,Crashes on startup
negative,"2Nov2020 I tap to open, it opens AND then closes. Useless. 18Nov2020. Thank you very much for the fix! It's working again!"
positive,Since the last update it crashes straight away everytime.
positive,"Using this on a Samsung tablet. I do not have What3words showing in the app. Uninstalled and reinstalled but still not showing. I have extracted the APK from the Emergency plus app on my phone, saved this to my tablet, ran it toinstall the app and it now works fine, so I can't believe that it is Google policy that was stopping it before."
negative,"Now that the failed update that caused the app to shut down has been fixed I'll change the rating. However, if another update renders the app useless again I will be uninstalling."
positive,New update is working just fine 16.11.20
neutral,"The app which worked once is still not working. It closes immediately it's opened, despite being uninstalled and reinstalled several times. My phone is as galaxy S7 running Android 8."
negative,Slow to open and does not fit on screen cutting half of the last three words off. Font is set to smallest. Not confident in using it in an emergency situation. Hope its just a settings thing. I have a galaxy s9
positive,"I just downloaded the latest update and the app won't open, just crashes on start-up. Android phone. Update... Version 2.23 is now working on my phone (Android 7.1.1) thanks for fixing it."
positive,"Can someone help. I have uninstalled then reinstalled, turned phone on and off and the app still won't open with s comment saying the app has stopped working. Any help would be great. Yes my phone is samsung s7. It used to work on same phone but not now and you had mentioned problems with 7 and 8. Looking forward to having it back. Thanks I now have it back as my app. So glad it's back."
negative,Preferred the look of previous emergency app. It was clear to see that it was for the emergency services. The new look app is unclear and meaningles.
neutral,Unable to access this new emergancy plus app. Samsung 7
positive,"Sad that an app can have so much negativity attached to it just for an upgrade fault. Now its fixed... those negative votes should be removed. Have not had an emergency yet, but the App works fine for me. Seems there was a genuine fault, but latest version as of 14/11/20 is working fine on my 2 year old MotoG7 phone. Simply tap the App.... and then tap the 000 button (or other if you wish) and you are ready to communicate with the operator. At the bottom of the screen was my exact position... wow. How good is that? I mean if you are lost, it is also helpul to see where you are. Should be compulsery for all phones in Oz. For a lousy $1.29 it is almost classed as free. Thanks to the providers of this app... feel safer already lol. Will be getting my partner connected also asap. BTW... only reason I get this is because saw it on TV this morning. Thanks channel 9 (smile)."
neutral,The app appears to now work following an upgrade.
positive,"Works well again with the latest update! I've recommended to family and friends, I think all Aussies should have this app on the home screen of their phone."
neutral,App doesn't open
positive,Awesome idea. The only downside is on my phone when i increase the 3word font size it cuts them off on the bottom on the home screen.
negative,I'm trying to install this Emergency Plus app and it doesn't go past install it won't open keeps shutting down fix it
neutral,Just updated my working app and now does not work... apparently the glitch still has not been fixed.
neutral,"It is not opening on my phone. Galaxy S7, Android v7. The fix has worked."
negative,"All fixed thank you. But... when you open the app, the heading is very faded and very hard to read. Is it possible to change the colour."
positive,"The latest revision of the app looks OK on a 6.7"" screen. On a 5.2"" screen the wording of the location and the co-ordinates are on top of each other. The 3 words are too small to see. Trying to touch or to move the text to see it clearly has no effect. The only helpful thing is to touch the map - but who knows that? On the following screen, the address, co-ordinates and the 3 words are visible as they should be. The location on the map is not shown, because it is not centered, and is out of bounds of the frame. The 3 word system is smart, however, as I hold the phone, the words are changing constantly. This could lead to misunderstanding with the operator. Australia is a developed and wealthy country. It should adopt a system where the location of the phone is sent out on a touch of a button. Can't imagine a person suffering stroke being able to operate this app and read out anything correctly."
neutral,"Installed app 13/11/2020, app opens and immediately crashes. So I can't really express an opinion on it because it on't work."
negative,Update: 13 Nov 2020 It is finally fixed and it works now. Doesn't work on my Samsung S5 I tried to install again on 12 Nov 2020 and it doesn't open. They said it was fixed. No it isn't.
negative,"Please consider restoring the previous app icon. The current one is useless, meaningless and plain ugly. The older icon immediately identifies the app as an Emergency App. Many others have commented on this issue."
positive,This app has just been updated but it still does not work on my Samsung S7 edge Problem solved. App now working as before. Several new good features added to this important app
positive,new version all good on Samsung S5. thank you for your speedy response.
positive,"The updated app closes as soon as I open it. Samsung s7. Reply from google, an identified issue with android 7 and 8. Will be an update soon. Thank you. Updated 12 Nov. Now works fine. Thank you."
positive,"New version doesn't open on my phone! Real issue for me as I work as a pool lifeguard. Also, the new logo is not an improvement, unnecessary. Thank you - issue fixed plus 3 word location technology added."
negative,"Since the new update, the app will not open and says ""Unfortunately, Emergency Plus has stopped working"" immediately. Worked great before and haved used in the past as I am in the emergency services. I have a Galaxy Note 4. Thankyou for your reply. Updated to the latest version and the problems are fixed and working fine, thank you."
negative,So. Update has been live for 2 months. Still not fixed. Any chance it will be fixed before the up coming fire season . Update 12/11/20 Still wont load. App closes even after latest update
neutral,"Previously the app wouldn't work on Android 6. I previously posted a 1star rating with a comment. Developers listened and afer a re-install, it works."
positive,The below issue has now been fixed and the app is now working on my phone. I am using Android 8.0.0 The previous version of the app worked great. This version won't open. Very disappointing for an Emergency app
neutral,Now working again. but location is not correct.
positive,Very useful
positive,"Thanks for fixing the bug guys,the app works very well & I think the changes are great..well done..10/10 guys."
positive,App crashes when I try to open it. Uninstalled app and reinstalled app with still the same problem 11/11/2020 Thanks for fixing above issue with the update today. GPS is slightly out by only 1 house though.
negative,Broken for 2 updates in a row for Android 8 users. Now how do I get help when I'm dying in a ditch on the side of the road?
positive,What three words function is great!
positive,"The new app like many other users found does not work. Could we have the old app back until such time as you get it fixed, lives are at stake. The old app worked great. As they say if it ain't broke don't fix it."
positive,"No, I wouldn't recommend this app anymore. It worked great before update i don't remember performing, now, i can't even use it, just says it's stopped. Why change something so important that doesn't need changing?"
negative,"Have had this app for many years, I have a Samsung 9, since the update this app has become totally useless, very disappointing!!!!"
negative,Useless. A waste of my Time. Doesn't work.
positive,"Used to work fine, but now won't open on my Android"
positive,This app was really good before it was updated. Now on my android phone the lat and long is unreadable Also what happened to all the other info like poisons centre.
positive,"App still works on my Android, W3W is a great introduction. However, when increasing the text size, it reaches a point where it won't display in the screen properly, as there's no ability to scroll down - yet lots of wasted up the top. Biggest complaint of the update is the icon change - more modern yes, but isn't obvious at all like the original that it's an emergency app. Even the new icon being red would be a better start. It seems to be a common piece of feedback from a lot of users"
negative,"Since last update,will not start. Tried to use during EMERGENCY 2 days ago and would not work."
negative,"This was a very useful app. Reliable and accurate. Now upgraded and totally useless. Unable to open, no mapping or coordinates Even the icon is not as distinctive. Please find a fix as soon as possible. Thank you."
positive,"This was a great app. Worked first time every time, anywhere. The new version is extremely disappointing. Have installed/uninstalled unsuccessfully numerous times in an attempt to get it to work. Even the icon is not as distinctive as the previous version. Used to recommend often during training courses. Please fix as soon as possible."
neutral,wont download
positive,"I had the old emergency app which was good, but then it was replaced by this one which won't open on my Samsung s5. So now I don't have an emergency app."
neutral,Doesn't open
positive,Continually stops!! Please rectify urgently!
negative,Until very recently it worked well on my Galaxy. Not now grrrr. Just fails immediately and has to be closed. Currently useless.
negative,Newest update fails to open now matter what I do. That's a problem for an emergency app.
neutral,"Can't even open app, keeps crashing."
neutral,Can't download the app
neutral,Wont install
neutral,"Had this app for a long time. Now, since the recent changes, app WONT OPEN!"
positive,"Used to work very well and was a reassuring app. Since the icon design changed and went orange, it's just nothing. It needs emergency repair especially for country travel and elderly."
neutral,"Similar to last comment. Had for years, since update will not work."
negative,"This is a life saving app and you can't get it working, very poor action not checking before release. It may be you that might need your life saved in a remote area. You people are supposed to be experts, fix it!"
neutral,App keeps dropping out.
positive,App won't open any more on Android 7 running on Moto g4+. An app like this should run on even the ancient versions of an O/S - we don't all feel compelled to by a new phone just because!
neutral,It can not be open!!!!
neutral,doesn't work after upgrade.
negative,It use to work up until a month ago. No longer works.
neutral,Newupdatedappwillnotopen
neutral,Keeps closing when i try to open app.
positive,"new app ,updated 2 days ago will not run failz and stopps on oening every time, was great now just bloat.."
positive,"Same as others - "" ... stoped"" message after update. (Worked perfectly prior to this.) Note to developers: this is happening on my Android 6.0.1; of which there are thousands still in service. Please fix service for Android 6 as well as 7 & 8. I also sent email with details of failed work around attempt, after re-installing. I opened directly via Playstore's ""OPEN"" button, instead of from new (orange) screen symbol. It opened, but would not allow set up."
neutral,Still not opening. I give up.
neutral,Won't open on my phone anymore. Crashes every time.
neutral,wont open or stay connected
positive,Looks simple and brilliant. Let's hope i never have to use it!
positive,Fantastic app
negative,Keeps closing saying it has stopped. Disappointing
negative,"Update to emergency one causes app to crash, unable to open app"
positive,"My is not working ever since the update .will not open I uninstalled and reinstalled, still the same issue. It use to work great now it's hopeless ??????"
positive,Sorry to report that the update has stopped the app completely on my trusty old Samsung S5 running Android 6.
positive,"Was brilliant when I installed it years ago since the update it crashes when I try to open it, not good if you have to use it in an emergency. Can you please fix the bug"
positive,"I can't access or update to the new 3 words app on my Samsung tablet? I've even uninstalled the 'old' app and downloaded the 'new' one but its not actually the new app, just the original?!?"
neutral,Location is incorrect by approx 150m.
neutral,The app will Not open for me
negative,"With an update, the app now fails to open or work. Do the developers understand what an emergency app is for? Do NOT release updates until they work reliably. It needs to be simple, reliable, robust and work without fail. This is useless!"
negative,No longer working on my Samsung galaxy s5 android 6.0.1
neutral,"Ya bunch of IT nongs forgot to test the ""updated"" app before release. Doesn't work on my Samsung S6. Given it's an emergency app one would think your release process would be a tad more robust."
neutral,Can't open
negative,"Will not currently open crashes on demand, something wrong"
positive,"Hi there. Had this App for several years now.The App appearance and ""look"" has changed recently and since this has happened, the App will not open on my Android phone. I have removed and re-installed several times but still will not open. Dissapointing as I work in Care/Sports Training field and often am required to ring 000 to get assistance for injured sports people. Hope it works before my local AFL pre-season starts again in late November. Please, please get it fixed."
neutral,This App does not work!
neutral,I am using Android 7 and it doesn't work for me following the update to PLUS.
negative,Used to work fine but after latest update it won't open at all. I've deleted and reinstalled it to no avail.
negative,Latest update broken. Will not start on my Android Samsung phone crashes immediately. How do i vwt the working version baxk again?
positive,Updated the app now it does not work. Uninstalled. What a joke. This app is like everything else in South Australia ..... Broken.
positive,Have had the original app for a long time. Since the upgrade it will not open.
positive,"It was working perfectly and I had recommended it to all my friends. But since the update, its hopeless. This used to be the best app around. Now its awful"
negative,Setting the font size bigger doesn't fit in the space provided. Should have kept previous icon.
neutral,Doesn't work since update. Uninstalling now
neutral,"New Update App is crashing will not open on my Android 6 Marshmallow Phone, but works fine on latest Galaxy Tab +S7 with Android 10. Poor oversight, do you guys test these BEFORE you release?, Now I have No Emergency App on Phone...great work."
positive,The updated App. says it's stopped. So now it doesn't work. Never had any problems with the previous app. Please reinstate
neutral,Will not open.
negative,"App will not open, keeps closing. I've Uninstaller n reinstalled a number of times without success"
neutral,Won't work
negative,"Never had a problem with the old app, but the latest one won't open. Have uninstalled, reinstalled and cleared cache to no avail."
negative,This app does not want to open. Can't download. Android
positive,Can't open the app which immediately closes down. Can you please help me to fix the problem
neutral,since last update doesn't work with j7 galaxy
negative,Most pathetic excuse for an app. Supposed to be an emergency app. Thought you knew what you were doing. Obviously you have no idea.
negative,Just down loaded the app and have noticed the app has my current location in my neighbours house (I'm actually sitting in my own lounge room) and the 3 important words that I would have to use in case of an emergency are partial covered by other information on the screen.
positive,You would think if they were going to relaunch this app they would make sure it didn't keep crashing when trying to open.
neutral,Crashes immediately.
negative,Won't work on Samsung s7 . Constantly says stopped. Not sure if linked but I do have the covid app constantly running
positive,Looks good with the upgrade
positive,Great app
negative,Will not open on my Samsung Android? It keeps showing as closing. I have deleted it and resubmitted but still no go.
positive,Doesn't open. Disappointing
positive,"Great concept of the 3 words location, and has all of the important emergency numbers and instructions"
neutral,Does not open
positive,Was good. Now crashes
negative,"It's showing the wrong ðŸ  house, we're nextdoor"
positive,Won't open. App stopped
neutral,Crashes on startup since last update
positive,It's a great idea I have samsung 9 the app was working but suddenly stopped and i have tried closing app reloading app and turning phone off and restarting it.
positive,This a great App. The App has stopped working. With last update. Iam using a samsung A5.
positive,"All very good and have had it since original version. However with the intro of What3Words the font needs to be bigger so it is more visible, especially for those that have some vision impairment . Or have the functionality to change the W3W font like the Long/Lat."
negative,I too have problems 'this app doesn't work anymore'. Tried in the bush today. Unsuccessful. Bit of a worry. Helen Aiton
negative,Change the original icon back!! Haven't used the app yet but the new icon will confuse people in distressing situations.
negative,Has now stopped working on my Galaxy running Android 8. Very disappointing
negative,Done update now it won't open What have you done ðŸ˜­ To bad if i have to use it
positive,Keeps saying app keeps stopping. Earlier version worked perfectly.
positive,Could have saved my life but doesn't work anymore
positive,"It replaced the previous triple 000 app which is perfectly works. This is not working at all. It says, the app has stopped. Please, before changing the any emergency app make sure and make sure it works perfectly. It will not be a emergency app if doesn't works."
positive,After an automatic update it no longer works on my Samsung Galaxy 5. Please ensure the current version is backwardly compatible. Lives depend on its functionality.
neutral,Not working since last update
negative,I can't open it at all since the very recent update. Not impressed!!!
neutral,The updated version of this app won't open on my mobile.
negative,Have uninstalled and reinstalled the app since the update but it still doesn't work like it did prior to the update. Disappointing
positive,"A great app but for some reason it stopped working on my phone. Everytime I open it, it immediately crashes."
negative,Has stopped working reinstalled and still not working
negative,Since you have updated the app fails to work. This meant to be an emergency app that was working perfectly before you updated it. Please repair ASAP so it can be used in an emergency
negative,Why is this app no working anymore? It keeps crashing after the latest update
neutral,"App won't open anymore... Reinstalled, still won't open."
negative,This shows an incorrect address for my home. But no way to correct or advise! Dangerous.
positive,This New version is not working on my Samsung Galaxy. I have checked settings all seems ok
positive,Was a great app until you updated it now it wont even open
positive,"Great app if you can open it, constantly shuts down"
negative,Latest version doesn't want to open on an older Android 7 based phone...stops almost immediately. Might be the same problem that the updated BoM app had for a while...
positive,Have recently uninstalled app as it not working anymore. It won't ever load. Was great when it was working
neutral,Will not even load since the latest update
neutral,Since updating not working
neutral,Ess we weer w we re w e et wees dw ess e wed er we see we f wwest
negative,"I have installed and reinstalled this app but it still won't open. Or "" Emergency + app has stopped"". Please fix this! It's an Emergency app. The previous one worked just fine. My phone :Samsungalaxy Note 5"
negative,New icon but it doesn't work any more. I have uninstalled and reinstalled but it continues to say it has stopped working. Who can fix this?
positive,Great tool especially if you find yourself on a long stretch of road or in the bush and need to know where you are to call for help.
positive,Show the best
neutral,3effe
negative,"It might get 5 stars if you would explain where my three words comes into the picture. No obvious reference to it when you open the app, just normal coordinates"
positive,"5 stars as very simple, functional and essential. Map could be improved by letting you drop a pin to get another location - some emergencies might need that information (like where you were five mins ago, or where someone else is)."
negative,I just downloaded this app opened it to see I was some 5 klms from where I am. Not much help if I have an emergency in a rural area. I have just uninstalled it.
positive,"Brilliant idea, I learnt about this app while doing the online criteria for my first aid certificate renewal and having needed to cal 000 before and not known the address of my location I think this is amazing and should be more widely known!"
positive,"Surely this sort of app would allow you to save personal information to be shared with emergency services (only if you need to contact them): allergies, medications, doctor, next of kin, home address, blood type, need glasses, wear contacts."
neutral,Does this app work for the US?? Reading things.. To my knowledge we do not use the (000)
neutral,Need to fix NRS access
positive,Great app if you dont have phone service.
