,User Name,Review,Rating,Date of Review,sentiment
33,worrieum354,"Trying to teach my 3 yr old how to use it but he has to confirm to dial 000 3 times before it rings and then try to switch it to loudspeaker before he can hear it.

Would be excellent to have automatic dial and loudspeaker function with one touch from a locked phone. I understand risks with accidentally dial but it’s too hard for a 3 year old in current format?

Maybe where it asks “cancel” you can colour this red and “call 000” make this green! Remember kids can read it needs to be picture or colour based for them. 

Can u pls fix!",2,2018-11-20,1
34,jnd_au,W3W is too close to the bottom of the screen and obscured by the iOS app handle. Text is so small now. Old versions much clearer and easier to read.,3,2020-11-15,1
35,Fhjgjfchjgjfghh,"Super useful app that everyone should have installed, the only thing I would recommend is if on the map the locations of near by defibrillators.",5,2019-11-03,1
36,Zieleń,Has a list of all the services you could possibly need with a description below and a gps on screen.,5,2017-07-23,0
37,App8653,Would love app to include metronome for CPR rate. Doing CPR while waiting for ambulance can save lives but doing it at correct number of compressions is necessary.,5,2022-05-30,1
38,Wild Anne,"Have now disabled this app😠
The new orange logo looks like the logo for our local Eyecare Plus Optical Store. The old RED logo with 000 was more easily recognised.
Also:
The address that shows for our house is incorrect. Shows the right road but house number is over a kilometre out.",2,2020-11-10,1
39,Mat 123441136,Great idea.  Adding a way to freeze/copy location would be great for when out of range and need to move to call.,5,2019-06-15,1
40,silverstingray,"It would be nice if this was available for Apple Watch, as those who have the cellular version watches, are able to use it independently of their phone & frequently do.",4,2018-09-04,1
41,Lincoln Wally,Originally when I installed this app it proved to be very accurate but now it’s not working as it should. I’ve deleted and reinstalled it but it’s still not working properly. Can anybody help with this problem?,3,2019-12-16,0
42,Noms09,Requires Live Location Sharing through the app!,4,2021-03-31,1
43,jrcdseed,"My home address is rarely shown correctly, it goes all over the suburb. It's supposed to have an option to save pin onto home address but there's no instructions on how to do that, it's not user friendly. 3 words not reliable for an emergency call.",1,2021-01-23,-1
44,Big Matt's,"What a great idea. 
However, I just downloaded the app and it keeps on crashing less than 10secs after launch. 
Please fix.",3,2020-11-02,1
45,Dawn Gilbert,"On referring this app to my caravan group, the question arose about does this app still function in some basic way to alert emergency services?",4,2018-11-02,-1
46,simpleNclean,Great app but have crashed once or twice on my iPhone X. The screen is still 16:9 so definitely needs a bit of updating.,4,2018-11-21,1
47,Jaybeff,Would be good to have a list of the person’s medications to communicate with emergency services.,5,2022-10-11,1
48,TroubledWatty,"Just saw the news segment on channel 9, and looks great, the idea behind it is fantastic so downloaded it... but it closes itself after 5 seconds. 
On iPhone 11 Pro. 

Think this bug needs to be fixed.",2,2020-11-02,1
49,aghjkltf,Can you please add a feature to save medical info and emergency contacts that can be accessed from the locked screen by paramedics and doctors or police if they find you not responsive. Thanks.,3,2019-12-20,-1
50,JQLD,Should be focused more on kids and elderly. A watch function would be good.,4,2020-07-18,1
51,Ronno_P,"Great app, but would like see the old logo return which was easily identified.",5,2020-11-04,1
52,Wicksssss,"If had an area to document 
medicine or allergies of owner ,

Otherwise in all a good lifesaving product 
Thanks to the makers .",5,2019-07-17,1
53,*iSub*,Very handy app in emergencies but it has been two years since the last update. Still references a home button and does not utilise newer screen sizes.,3,2020-01-04,0
54,Surfingness,"I really want this app to work. However I’ve just downloaded the latest edition and the map is incorrect and the address is incorrect by more than 50m. I’m in a suburb at the moment so am a bit wary for using it mountain biking and using the locator for assistance. 

Happy to provide feedback if someone is willing to chat!",1,2017-10-09,1
55,Cam2919,"Pretty useless when half of the location address is not displayed. App
supports just takes you to the Australian Government general webpage.... no way I could find to report the above fault.....",1,2021-02-10,-1
56,900monsta,"I couldn't find an answer but, can this be used on Apple Watch? And is so, are there only particular models or all models? I frequently collapse and can't reach my phone.",3,2018-06-21,-1
57,stormb545,This app doesn’t do very much and I cannot see why the police would even utilise the location as it doesn’t provide an accurate location reading for instances it say I’m located 6kms from where I actually am.,2,2019-08-03,0
58,Aofreeman,"Great app, would be nice to have it on the Apple Watch too",5,2019-05-28,1
59,Mans23,"Activated in my bag, crashed my phone and no emergency services arrived. Texted my contacts saying emergency services coming to me. Couldn’t turn my phone off or reset phone. Caused my family worry as activated and could not deactivate.",1,2019-01-19,-1
60,Jo Jo57257,"This a great app overall, but I would love for it to have the functionality to make calls using soft phone apps, like 3CX and Zoiper",4,2019-03-21,1
61,Music123!,Hi…our staff have recently used this in Qld but our QFES and 000 operators where unfamiliar with the what 3 words functionality. Any guidance on when this will be rolled out nationally? Thanks!,3,2021-11-11,1
62,thw drum,Since the update yesterday this app is now not working. It will only stay open for 1-2 secs and then disappears,3,2020-11-02,-1
63,Stace@2020,I had the previous version of the app which worked flawlessly on IOS12. I have just updated the app to get access to What3Words and now the app crashes within seconds.  Very disappointing,1,2020-11-02,-1
64,Solty05,The new app icon or tile is not very appealing for emergency! It now blends in with everything else!!! Backwards move,4,2020-10-30,-1
65,Sayed 1234,"Any chance of having the app icon in bright red, so can be easily identified among other apps? Audiovisual functionality would be great.",3,2020-11-01,1
66,jarra_tt,Would be great to see public AED locations included in the app,4,2022-07-25,1
67,SplendidWhat,"This app uses a survey address from which my house is inaccessible, so using the app puts me at risk. Can you add a feature that allows an update of home addresses or a note?",2,2020-01-05,-1
68,Buticks,Since the update the addresses don't appear only the coordinates,4,2017-08-23,0
69,Spelio,"000 ask what service you want, so you need to be conscious , then they need you to read your threewords W3W location which they had not heard of and would not discuss any further , as you lay dying...",1,2022-01-05,1
70,lachlandewsbury,"Amazing app
Bring out lots of new features and update for newer devices and all screen sizes",3,2020-01-05,1
71,Ozstubbsy,The newly updated app is useless. It crashes within seconds of being launched!,1,2020-11-02,-1
72,MATDS,"Can’t share it ! 

Needs a button of option to share it with friends.

Needs promotion 
It is the best kept secret

Need a way to send the location without needed to ‘tell” it

Great idea
Great app otherwise",5,2020-07-02,1
73,Hope@wa,The new app icon design is a very poor substitute for the original.,4,2020-11-01,-1
74,jehsvehejd,How easy is this.... awesome,5,2020-11-14,1
75,Hubba55,Just downloaded and tested this app. It keeps crashing. It has also given 4 different three word descriptors of my location.,1,2020-11-13,0
76,wesl2,"Needs to be able to send coordinates to an emergency contact/carer, for people who under Domestic Violence/stalking duress",4,2020-07-30,-1
77,Myhappyfingers,"Why can’t I stream video live to emergency services ?
What if I’m recording a crime in progress ?
What if I’m recording my attacker who then destroys my phone ? (Video evidence would be in the cloud if I could stream direct to 000) making catching the crim a lot easier.
The operator could provide advice that is more relevant based on what they are seeing

Come on people 
It’s 2019
We have the technical expertise 
Why arnt you embracing it ?",1,2019-12-01,-1
78,BJ Ripley,"Rang non urgent police line re dumped stolen items I found on Qld walking track, tried to use location on app operator said we don’t use it and only google maps.",1,2022-06-15,-1
79,ijhvdhk,"Accuracy seems to be problematic. When checking the app at home, it’s so far shown me as being in three different locations, none of which are my home, and one up to 3km away.",1,2020-06-24,-1
80,81055386BG,I too would love to have this app extended to Apple Watch (LTE version).,4,2019-06-03,1
81,Saarebas,"App crashes within seconds of being opened. 
Great idea but not good if it’s not reliable.",2,2020-11-02,-1
82,Skidad3936,The app only lasts on the screen at most 4 secs before it shuts down. It needs to stay open to provide the 3 words.,1,2020-11-02,0
83,Bsg666,It works just fine but the UI need to be updated to 2020 it looks like it’s from 2007.,3,2020-09-26,1
84,Dale K,Needs to support longer screens of the newer devices like iPhone X. Would also be good if this app supported the Apple Watch.,2,2019-12-17,1
85,rustyqb,Uptake Works for a second and then crashes full of bugs should never of been released please fix,1,2020-11-02,1
86,knick_007,I get it’s hard to fund this sort of app constantly and funding actual emergency services is more important than constant upgrades but seriously the iPhone X came out in 2017... No excuses for the lack of support for the screensize...,1,2020-02-19,-1
87,MEF99,Not very accurate. Gives location from next street to next door. Not very useful in an emergency.,1,2020-11-08,-1
88,Craigs902,To incorporate what3words Is a fantastic move.,5,2020-11-08,1
89,Shikadai Nara,if you know you know,5,2022-03-29,0
90,Fleurette balane,"It’s not accurate. the gps shows up as three houses down, not where I am at my house",2,2018-03-05,0
91,WWWobbly,Only shows the last few letters of a place name such as “berg” rather than Roseberg or “land” rather than Garland.,2,2021-01-25,0
92,Lucefest,Would send emergency services to totally the wrong place and actually cause more delay than help!!,1,2019-07-22,-1
93,emnow,"This app crashes without fail within five seconds of opening.
Icon redesign is a step backwards.
W3W integration a great idea.
iOS 13.3.1",1,2020-11-02,1
94,Crumbie crusader 777,The app thinks I am next door!,2,2021-03-13,0
95,Awesome books yAaaAay,CPR child video had no sound,1,2020-11-04,-1
96,cybergenic,Gives the wrong GPS coordinates and address. Could be the difference between life and death.,1,2019-02-22,-1
97,Don't give up your privacy,I live in the Blue Mountains. App turns off before it settles into my location. Serious failure IMO.,1,2020-11-02,-1
98,carbynatwat,App keeps closing. Only stays open for 10sec. Very disappointing.,1,2020-11-02,-1
99,kgsyk,It has the latest apple operating system,1,2020-06-16,0
100,DocOnMac,"I have read many of these reviews regarding wrong location. On all smart Phones, (i have iPhone) Location Servives and Cellular as well as Bluetooth make Loaction much more accurate. However different parts of my house give 2 different strett addresses. This could make differsnce in an emergency. Is this the limitation of the App, the Phone or the Geolocation system? A more precise location would certainly make this App better 65 m is along way considering the number of satellites it is reading off.
DocOn Mac",4,2016-05-25,1
101,Escapecamper,Could this Very useful and important App revert to its previous BRIGHT RED colour. The Orange gets lost amongst my other similar colour Apps.,1,2021-04-15,1
102,playsport,Extremely outdated not safe to use,1,2020-01-28,-1
103,Gregory Opera,"As a former emergency responder, I think ‘Emergency Plus’ is a fantastic idea, and I especially like that the application can automatically display one’s exact location using multiple methods, with varying degrees of accuracy.

The application does need a fair bit of work however.

Firstly, there is “critical” information deep within the menu that many people would not know are even there… For example, to find the ‘CPR guides’ and ‘fire alerts’, one must click the three lines in the top-left corner, followed by clicking ‘More Information’ and then finally, the drop-down arrow next to either ‘Royal Life Saving’ or ‘Fire Alerts’.

This is way too many steps to access “critical” information during an emergency and to be honest, most people probably wouldn’t even realise that they could find “critical” information like this deep in the menu.

It would also be nice to see ‘Apple Watch’ support integrated.

Just about everybody has an Apple Watch these days and adding support for these products would not only allow callers to use ‘Emergency Plus’ independently (i.e. when their smartphone is not physically with them), but it would also make the process of talking to emergency personnel easier (e.g. callers can refer to their Apple Watch for location information without needing to drop their smartphone away from their ear). Things like fire alerts could also be delivered to one’s Apple Watch product in real-time, even if their smartphone is not physically with them at the time.

I also don’t understand why there is no support for ‘Amber Alerts’ whatsoever.

I rarely know when ‘Amber Alerts’ have been issued, because I don’t listen to commercial radio or watch commercial television, and I don’t use social media, so the only time I know there’s an ‘Amber Alert’ active is if I just happen to drive past one of the dynamic road signs (i.e. the LED road signs that change)… If this application supported ‘Amber Alerts’ or better yet, supported ‘Amber Alerts’ AND ‘Apple Watch’ products, I could be notified in real-time whenever an ‘Amber Alert’ is active.

Another important feature which is lacking is support for notifications and by integrating such functionality, ‘Emergency Plus’ could deliver real-time notifications for Amber Alerts or emergencies (accidents, natural disasters, severe storms etc…) to anybody in the affected area… As with other (third-party) applications, users could optionally permit their location to be shared in the background, to fine-tune the delivery of such notifications.

‘Emergency Plus’ is an invaluable application to install on one’s smartphone, but it still has lots of rough edges and to be honest, it almost feels like a beta (“draft”) application… Whilst I’m sceptical, it would be nice to see this application updated to address these criticisms.",2,2022-03-22,1
104,Pinkie Pie🎤🎭🎨,here cause paul dillan told me to #itswatertime 🧎‍♀️🧎‍♀️🧎‍♀️,5,2022-02-08,0
105,Ava0Q,"Just downloaded app & love that it has a street address shown on a map AND lat/long displayed PLUS degree of accuracy (within 65m for example). While 000 may ask for cross streets, these can be seen on the map in built up areas. And having lat/long is better than nothing in remote or rural areas, as far as I'm concerned. Maybe we need to upgrade our 000 responders so they have the ability to view lat/long on a map or vehicle GPS. Given the huge areas that don't have street addresses, lat/long is necessary at times.",5,2017-02-08,1
106,Maggiemg22,"I was showing my mother this app saying how it was a great idea. She thought so too but her feedback was that the coordinates were very small and difficult to read, especially if you were in an emergency situation and feeling dizzy etc. It looks like there is room to make the co-ordinates larger and perhaps black on white text would be easier to read especially for older people or if you're glasses have been lost/broken in an accident. Thanks :)",4,2016-01-20,1
107,Cameron Hamill,"If the app could automatically share the app users GPS location with Emergency Services i.e. without the app users intervention, it would be 5 stars from me.

The app is a genius concept. I'm telling everyone I know about it. I have some friends from a non-English speaking background I'll be installing this app for them.",4,2014-09-25,1
108,Denyer's One,I had to call an ambulance for a life threatening emergency today. I was on an unfamiliar rural road and had so much trouble trying to explain my location. The guy almost died while the ambulance was delayed... I'm totally overjoyed to find this app as I can already see how essential it is... Should be compulsory for every motorist! Truly a great invention which will save lives!,5,2014-11-27,1
109,Ceewil,"The app info section says it was developed with valuable assistance of Vision Australia. Why then is the font so small and the GPS coordinates and address details so small?! In a stressful emergency, this info needs to be bigger. A previous review suggestion for the inclusion of the poison line and mental health emergency number numbers is a good idea. Overall though this app is a good. Having had to call 000 before on a remote road with no reference points, this app would have been very useful .",3,2014-03-10,1
110,R-Buddy,This app seemed like a great idea - very clear layout with easy to read GPS co-ordinates.  Was about to load the app onto my mountain biking son's phone and noticed the current location was way off.  Clicked on the map and noticed a disclaimer - 'accurate to 6000m' which makes the usefulness of the app questionable especially situations such as mountain biking reserves or national parks etc.  6km is quite a distance. Can't understand this inaccuracy - hopefully it can be fixed.,3,2015-10-17,1
111,Cheryl2815,"Today I used this app for this first time! A car accident in the middle of nowhere, I was as able to use this app to call emergency services and provide my location within 30 minutes police arrived with ambulance and fire truck a few minutes later!

A must have app for everyone!",5,2017-03-05,-1
112,**alc**,Great idea but GPS location coordinates on the home page are too small to read. Unless you have 20/20 vision it is too hard to see the location and numbers. Other reviews have said this too.  There is enough room on screen to increase the text size so why has this not been modified by the app developers? It is pretty crucial in an emergency to be able to read your GPS location.,2,2016-09-05,1
113,Jadzla,"If cross street, other emergency numbers like poisons, mental health and a spot for making notes of when u called were added then this would be 100% useful.

PLUS - where's a button for 112 when there's no mobile coverage? A total must.

Well done developers",4,2014-02-17,-1
114,Ee0542,"I haven't had to use this, but it would be great if you needed to. It loads really quickly so you're not waiting just to make the call, the location, for me anyway, was perfect, and it's laid out in an easy to use way, with various numbers in case you don't know whom to call. :)",5,2014-12-20,1
115,PeerReviewer,"When in an emergency and needing to read out coordinates to the 000 operator, many older or visually impaired people might not be able to read them out due to the numbers being very small. A person may not have their glasses with them or be able to find them in this emergency. An improvement on this app would be to enlarge these coordinate numbers. Thank you.",3,2017-01-22,0
116,Rural WA,This looks fantastic especially for isolated roads or beaches but I have a real concern that my young kids could accidentally ring emergency services if they play on my phone. Any chance of adding the option of using a password or something similar to access the app?,4,2015-08-14,-1
117,Tom dog,"Loaded up and found my location (street address) perfectly.
Could be very handy in a rural situation where accuracy using Lat / Long coordinates would be much better. Out of WiFi range will take GPS in phone longer to establish accuracy.",5,2015-01-25,1
118,kelrenzz,If there was an option to store your emergency info (like iEmergency) as well it would make it a very comprehensive app. And perhaps a source of information for emergency services if the patient was unresponsive on arrival. Please consider for next upgrade. I would happily pay to purchase.,4,2013-12-06,1
119,fLYINGzuCCHini,Why does the app still use gps in background when you don't give it those privileges? Still indicates it's in use even when not in the app and when you kill the apps. Battery drain not the best thing when you are in an emergency...,4,2015-07-27,-1
120,jhudson2049,"Yeah! This is a gr8 app! But it's a pity that you can't just press a button to share your location with pre-programmed Emergency Services or others members of your family or friends! By SMS, Email or Social Media! In future software updates, could you PLEASE add this facility! Thank you!",4,2013-12-21,1
121,Jim 1941,"This is brilliant, only thing that would make it better would be a share button to send link to to friends",5,2016-01-15,1
122,Remacl,"I really like this app! A few updates would be great... 
- address bigger
- 112 as a common number. For mobiles out of area
- a ""users"" profile that emergency workers can look up if required (name, dob, address, blood type, in case of emergency, etc) 
- a ""other"" numbers section.",4,2014-05-16,1
123,Keppto,Maybe add a feature that you can just send the operation instead of reading it out. There should be a button that you can press and it'll just send your immediate location.,4,2017-03-05,0
124,G0p,Should be included with the iOS automatically. Good to have all this info in one place with quick gps location. Recommended for everyone.,5,2015-03-26,1
125,acscotty,Whilst the concept of this app is excellent I can not seem to get it to work in airplane mode or without sim. Perhaps an update is needed so that pressing 000 will actually dial 112 which is the universal number that will contact 000 in Australia even if you do not have a SIM card in your phone,3,2013-12-06,1
126,Pms city,Simple to use and easy to understand. I recommend everyone has this on their phone. Haven't needed to make an emergency call yet but it looks easy enough for anyone to do.,5,2013-12-05,1
127,Motion,Great app wish it would send GPS position and you could also take a picture incase you witness something. A Must have app thank you,5,2014-09-28,1
128,Sparkesymum,Great app but it kept contacting emergency services while in my pocket. Felt bad for the staff there as I am sure they had better things to do. Great in an emergency not so great if you just want to throw your phone in your pocket and not create a major incident accidentally.,4,2015-12-28,-1
129,Davinci7,"It doesn't happen often, but when I need to know which number to use for a situation I have found myself in, this app gives me the answers! Great job",5,2014-04-10,1
130,watcal,"Haven't had to use the App yet, but have loaded on to all our devices. Simple design & well laid out. Nice to see location displayed clearly, this often difficult to know when you are stressed or in an unfamiliar place.",4,2014-11-22,1
131,Littlenush,An additional feature that could improve the app is a gps tracking system of emergency service vehicles travelling to the place of the accident/incident.,4,2015-09-30,1
132,smart buyer,"When visiting a relative at their house, she had bad accident was drifting In & out of consciousness. I'm not smart, neither is my cousin, so as he called triple zero, I got out the app and checked the address to tell the operator. A Lifesaving app!",5,2013-12-18,-1
133,gillb17,"Downloaded to my iPhone,  hope I never have to use it but it picked up my location and street address in Qld immediately, also gave my GPS coordinates,  it was spot on.  Great app.",5,2014-12-11,1
134,Hillsgirl,"Found my location exactly, with & without wifi . I think it would be great for my kids when not at home. Thank you",5,2015-05-11,1
135,SteveYoung9999,Would be even better if one or two photos of the emergency could be sent to 000 at the same time - e.g. of the fire being reported.,4,2013-12-11,-1
136,Lil miss kardashian,Turned wifi on and the location was exact!,5,2014-12-31,0
137,Mxwake,"This is a LIFE SAVING app!!! I'm sure it has already saved lives! Everyone please rate this app so more people will hear about it!
How many other apps save someone's life? Incredible!",5,2014-03-30,1
138,Rosie594,"Great app but as stated by other users, the address has to be BIGGER! How can you tell the operator your current address or co-ordinates when not at home if they are too small to read? This app is still a must have.",4,2014-04-02,1
139,Jubby2259,"Great app, helps Emergency services find you a lot easier if you don't know where you are. Recommend it to all your friends",5,2013-12-05,1
140,megsylomas,Good app but needs a place to put the phone number of your own emergency contact person in case you can't tell responders,4,2016-10-16,-1
141,APRIL SWIFT,Took them a long time to start thinking it should have been out as soon as GPS phone was invented.,5,2013-12-21,0
142,Schloff,Great for adults and kids alike. Easy to use. Can save emergency operators valuable time by you knowing where you are,5,2013-12-06,1
143,Asi_9,"How is it possible in these modern times, that a victim must double tap to return to this app for GPS co-ordinates (which are available on the included iOS Compass app anyway) in order to VERBALLY state their location??

Good suggestions in other reviews, but with a positive 4 star rating, I doubt those ideas will be implemented.",2,2013-12-31,1
144,Red car driver,Awesome not only does it have all the emergency numbers in one place also tells you were you are..great idea.,5,2013-12-05,1
145,Leamik,It'd be good if it actually had my location correct instead of 20km away and not giving me the closest address I'm afraid that's not going to be much good the ambos if they can't find me or is it just accurate for NSW and not any other state ??? Definetly needs some updating done on it before I consider it useable,2,2014-04-06,1
146,RobSteelePerth,Works well and could easily save lives directing emergency services to the correct location.,5,2013-12-10,1
147,Tabbycat74,Read about this app today and had to get it. It is a great idea. I hope I never have to use it but glad I have it just incase,5,2015-04-03,1
148,Cannulator,The non urgent police line isn't a national service as is health direct. The app should be state specific depending on the location identified by the app. Eg Nurse on Call in Victoria or the local police station number.,4,2015-02-28,1
149,Pembeel,I hope I don't use it but it would certainly help me if I needed. It's on my home page ready to go.,5,2015-06-25,1
150,Lilly049,I tested the GPS coordinates and it placed me only 10m from my home. It feels very reassuring to have access to a potentially life saving app,5,2016-10-15,1
151,JJMEsq,This app has the potential to save many lives. I highly recommend it.,5,2013-12-06,1
152,Katherine5159,I have used this app when I got a flat tire on my car. I could tell the RAA where I was which is helpful.,5,2016-06-20,1
153,slaygal76,This app should come standard on all iPhones in Australia. Quite possibly the handiest app to have.,5,2014-02-25,0
154,Gomaz01,"Just downloaded this app because I thought it would be very handy in giving your exact location in an emergency, only to find my location was out by 3+kms which is concerning.",2,2017-05-26,0
