,User Name,Review,Rating,Date of Review,sentiment
28,Felco6,"This app is so helpful. If I were a babysitter, this would be a lifesaver! (Literally) I love the quizzes, they have taught me so much! Thank you!",5,2017-04-29,1
29,Dmitrius 72,The app I was looking for a long time and finally found it.,5,2017-10-01,0
30,Ventilator74,What happens if you select the emergency option at the bottom? Does it call 911? I dont know what it does and will not press it until I know!,3,2020-06-10,-1
31,Hiporthodoc,Everything you need to know to save a life.,5,2017-12-02,1
32,3458732,"The app keeps downloading in spanish with no option for English. Tried several times , but will delete again and just move on to another app for first aid",1,2022-05-23,-1
33,Drievk,This is a great tool to refresh some of the content already learned.  This specially helpful to first responders.,5,2018-03-16,1
34,Tbonz42,This is an excellent app.  Every person should have it on their phone!,5,2017-10-08,1
35,CoCorkIreland,Excellent reminder of SPECIFIC points to address for a number of common medical emergencies!,5,2017-06-02,1
36,IceWolf600,"Its great instruction wise, but their spelling is off. They need to fix it or they'll lose their reputation. And also putting vinegar on a jellyfish sting makes it worse. Just saying.",3,2017-09-06,-1
37,quite quiet,"I just started skimming through the “Learn” tab to refresh my memory on first aid training, and I see “Heat Stroke” listed as “Non Life Threatening”. WHAT?! If these developers can get something so basic wrong, I can trust nothing they say.",2,2019-11-19,-1
38,NurseTLK,"All of my Red Cross apps on my iPhone do not work with iOS 11. Please update ASAP. I live in SoCal near The Creek fire, it’s earthquake country and I have pets. Many people here need access to the apps. I was unable to send a message to RedCross App Support via the App Store, so here is my message on the review. UPDATE YOUR APPS!",1,2017-12-06,1
39,tcguymaw,"Update only allows to to agree to terms and conditions in Spanish. Then, there’s no way to return to English version. Also, the feedback submit button sends your message to a 404 Error site.",1,2018-03-30,-1
40,jakebf,This app is great for me because I am in Boy Scouts and I can learn from this app on what to do if someone is injured and no one else knows what to do.,4,2017-06-28,1
41,Medic 70,"They should have a negative stars rating I gave it one star so I can post a rating. 
Very little to no information on how to treat when 911 is unavailable. You are better off whispering “let it happen” to a person who is severely injured or ill.",1,2018-02-25,-1
42,👍🏻💟👍🏻💟👍🏻,This app helps you learn serious medical skills and after u learn u can take quizzes!!😍😘,5,2017-09-08,1
43,Tenchobus,It would have been five stars but then I saw that the app is sponsored by Monsanto. Disappointing,4,2017-10-13,-1
44,John Carlile,I am a Boy Scout and have to learn first aid as a life skill. This app is an amazing reference for real emergencies or teaching.,5,2018-05-14,1
45,Ymailb,I would like to have instructions added for someone that is vomiting,3,2017-08-26,1
46,Must get???,Highly recommended,5,2017-06-20,1
47,Sixbeast23,"Great app, comes in handy easy info  , very much recommended .",5,2020-04-30,1
48,km.lizard16,"Thanks for free version, I hope that is really helpful.",5,2018-12-17,1
49,Louison my mama,This app teaches me a LOT about First Aid and what to do during certain medical emergencies.,5,2019-07-30,1
50,CoachAmyVan,Doesn’t replace getting certified but a decent quick ref.,4,2019-03-03,0
51,Over Sold,I am sitting in the parking lot of one of the largest medical centers w/ ER services in Jacksonville and it is not listed in the app. (Baptist South).  Could cost someone life or limb in an emergency by driving to a more distant facility.,3,2018-01-27,-1
52,Colin3452,I learned so much from this thank you Red Cross ⛑,5,2017-05-16,1
53,Mine 64,This is great! I could save someone's life now!,5,2017-09-10,1
54,cprdoger1245,It’s is very buggy when my cousin was choking I ran out of time and could not save him because the app wouldn’t start. Update he’s dead,1,2022-04-26,-1
55,DisavowedAgent,"Simple to use, quizzes to test understanding. A must for anyone!",5,2017-03-14,0
56,Dialysis patient,"Used to have a medication list feature...
Why delete it??
I won’t be using the app until it’s put back...",1,2018-04-04,0
57,RL_135,"All it does is tell you to dial 911 and give you obvious instructions, there isn't any information on how to medically treat someone or yourself in an emergency. Like give stitches or make make-shift medications.",1,2017-03-27,1
58,firstaidknox,There should be a category for responding to suspected substance overdoses and using opioid reversal drugs. Come on Red Cross,3,2020-05-11,-1
59,MrG0nZ0,The entire instruction section is just telling you to call 911. Everything in this app is just common sense. I don’t know why it has such great ratings,1,2019-01-22,1
60,@eyed,Perfect for assisting/ saving a life instead of panicking!,5,2018-09-02,1
61,D:::man,Save the gd user name and password when you patch the software. Having a broken app is not helpful.,1,2019-08-01,-1
62,asrtopxmnhrt,There is no search feature so this app is not as useful. Will be deleting it,1,2019-06-02,-1
63,vgvfbgg,Very helpful,5,2017-11-03,1
64,Cea1,you need to have more images for fast understanding in emergency situations. baby cpr really should have clear images for both back and chest maneuvers so ones not panicking reading...,3,2019-07-25,1
65,Kjb.....,"Can’t find my medications, and issues I have.",1,2020-03-18,0
66,Katelin W,I’m just curious how or if I could access my certifications ?,3,2017-11-08,1
67,retired medical,There appears to be a flaw in the bleeding quiz.. no way to answer question one,2,2019-05-20,-1
68,Eight10s,If the wildfire app was functional you probably could have saved homes and lives.,1,2017-10-30,1
69,2142014,"Seriously, make the person comfortable and call 911? You won’t learn life saving techniques here, folks.",1,2019-05-03,1
70,Escalanteutah,Really nice,5,2017-08-30,1
71,RecruitKat567,This app is awesome.,5,2017-08-03,1
72,Loud & Local,"Great resource, but to be sponsored by Monsanto is disgusting.. app deleted! Find a sponsor that actually cares about the world.",1,2017-03-14,1
73,Booker dopper,I had to download this it still downloading,1,2017-11-17,0
74,Chuck10011,"Everyone, who is not already an expert in first-aid, should have this app or a similar one on their phone.  It gives good advice for a variety of situations where you could help someone, even perhaps saving their life.

I don't understand the few reviews I've seen that say the app is dumbed down.  In some situations there's simply not much a non-expert with no equipment could do, except to call 911.  The fact that ""Call 911"" appears early and often in the list of steps is NOT a meaningful criticism of the app.  Even an expert should do that, as an ambulance and hospital are simply better equipped to help than even the most expert person who has no equipment with them.

There is only a small chance you will ever need to use this app, but if you do need it, you don't want to be waiting for it to download.  Get this app.

I do have one criticism of the app.  It can list nearby hospitals.  This would be a great feature, except its database includes even specialty hospitals with no ER.  Seems like a first-aid focused app should only be listing hospitals that have urgent care facilities, perhaps even separately indicating ""Emergency"" vs ""Urgent Care"" locations.  The closest hospital to me, for instance, is the New York Eye and Ear Infirmary.  Fortunately, in that case the name is a give-away that urgent care will not be available there.  But what about similar specialty hospitals where it's not obvious from the name that urgent care will be unavailable?",5,2014-08-31,1
75,A1864,The hospital finder for San Francisco zip codes does not work.,1,2022-07-04,0
76,mercenary_gary,App is terrible,1,2018-08-19,-1
77,JackAttack___2468,It told me to eat mold 8),1,2019-05-25,1
78,SGTMiles,"This app does not give step by step first aid instructions. It basically says for every thing don't panic and call 911. I don't need an app to tell me to call 911. I downloaded this app thinking it would cover things like proper field dressing of a wound in order to get someone to the help they need, but instead it only tells you to keep pressure on the wound, call 911 and wait for help to arrive. Completely useless of you are in an area or situation where help cannot be counted in to arrive on a timely manner such as hiking in the backcountry or in the middle of a natural disaster. Not to mention the bites and stings section doesn't even attempt to cover snake bites, only insect stings. And the anaphylaxis section gives you no help in managing the anaphylaxis until help is available, only "" if the person is suffering from anaphylaxis call 911"". God forbid anyone have an accident outside of cell coverage. Seriously all of these 5 star ratings must be the developers friends and family or people who have not even the slightest clue what first aid actually is, this app will not save anyone's life ever. It is very incomplete and like I said is basically just a 911 button. If you didn't know how to call 911 in the first place you probably shouldn't be outside of your house without an adult.",1,2012-09-03,-1
79,MaileSundquist,"So the idea of this app is great!  I love the layout and info., although some of the grammar could be better, but the tests do not work properly.  For instance, I answered all of the questions correctly for the bleeding test, however it only said that I had one correct answer.  The reason I know I was correct on the other questions, aside from being confident in this knowledge already, was that the test showed the answers for the ones you get wrong, and ""correct"" for what you get right.  In the written answer area, it stated all of the correct answers, which were the ones I gave, but it didn't give me the credit for them.  When I tried several more times it would only give me credit for one more answer, even though they all should have been correct from the start.  I tried the allergy test, another area that I am competent in, and it did the same thing, but this time for  2 of the 5.  It's a shame!  The tests are a fun idea, but don't work.  I'd give this app 5 stars if everything was in working order.",2,2014-12-10,1
80,SydneyKiley,"I decided to download this app because I recently became a swim instructor and CPR/AED/FA certified at my local gym. It's very nice for someone like me who could possibly have to deal with a situation like the ones mentioned in the future, and then being able to pull up the procedure on my iPhone is awesome because I forget things easily. I've taken the all the tests on the app (and have gotten 100%), and for the broken bone test I selected the two correct answers for what to do to when someone comes up to you with a broken arm, which is to hold it and support it with a cushion. The app still marks it wrong even though I've put in those answers about 10 times. Other than that this app should be on every single persons phone in the entire world because emergencies happen everyday and you can never be prepared for them without this app or proper training.",4,2016-01-07,1
81,Sammyr123,"The Red Cross takes the same line that many corporations and all governments do. Namely, you're too stupid to understand all but the simplest information. You can't be trusted to handle anything requiring thought or imagination! So, just shut up and do what you're told and nobody will get hurt. 
Unfortunately, in many cases, people WILL get hurt without enough information then and there at the scene while waiting for the ambulance to arrive! So, instead of offering enough facts for you to try to help the injured person, they usually just give the skimpiest of information and tell you to have someone else (NOT YOU, remember, you're too stupid to be able to make a call while you sit there ""reassuring"" the person) call 911!!! 
I don't understand how people can not only listen to this patronization, but give it 4 or 5 stars!
Giving more details of this indirect attack on our abilities would take too long. It took a lot of control on my part to write what I did. What a sad commentary on our society!",2,2014-08-11,-1
82,Dhkbcddyhgdfhklplkllllpppp,"So, this is interesting. Now I live alone in my house with just me, my cats, and my dead hamster. I work as a self-employed construction worker, and I was just getting back from knocking down this wall when I heard the scream.

The hamster was caught underneath his pull up bar and was squirming. I rushed downstairs and started yelling: ""Tod are you okay?"". He spiritually answered me and I started screaming at the cats to get help. They ran and i moved in to help Tod.

With all my might, i pulled him out and brought him to the baby changing station i had installed in my kitchen. i took this grate class in medical scool so im rellly good at first ade. I kept pushing down on him while i was looking at this ap thing. It said to give CPR to the individual and push down as hard as possible and so i did and Tod was crushed to death when i brought a pickaxe from my job.

The more i think about it Tod was fine and i didnt need to do it. i keep him in a garbage bag and mourn his loss every day with his shrine in the kitchen. One of the cats never came back and the other four came back.

I think i should ""punish"" them. If they got help Tod would still be alive. stupid $^&^%$&**** cats.",4,2015-12-02,-1
83,Angel N Danny,"This app is good if u have taken first aid classes, you can use it as a basic (VERY BASIC) reminders. It does not give step by step on what to do. Even in the test question: chocking: it gives a scenario and ask what's the next thing to.. The only option that is close to being right... Truly is about the 4th step. U don't see someone chocking and just walk up to them and hit them on the back. 1st you introduce yourself 2) you ask them are they chocking 3) u ask them if it is ok with them that u help them 4) then you would administer the proper procedure. It also does not show u how or where to place your arm before firmly hitting them on the back. App truly lacks a lot so please don't use this as your only tool for what to do in any emergency!

Also when I went to look at all my achievements- the app froze.",3,2013-07-09,1
84,DCSnowPatrol,"Great App.  I really like their other apps too like the hurricane app.  I rated a four for two reasons: 1) It isn't formatted for the iPad - minor I know but a little annoying having a lot of screen real-estate and not using it.  2) The first aid information is only online.   While in most circumstances that will be fine in the event of an disaster ie. a hurricane when power and network connectivity is unavailable the first aid information wouldn't be available.  

Otherwise spectacular app.  Red cross please format for IPad and make first aid info downloadable.  I'd even be willing to donate/pay for app with first aid content being downloaded to the device.",4,2012-10-30,-1
85,MLN88,"Includes learning/review modules intended to be read at your leisure, as well as an ""Emergency"" section intended as a guide during a real incident. Learning portions provide both the how and why of procedures, with FAQs and quizzes. Emergency portions are clear, concise, and practical, with an option to call 911 from within the app when appropriate for the particular emergency. App is very intuitive and user-friendly. Obviously, it's no substitute for hands-on training and certification, but the material can be easily understood by those with no prior training, and is a great refresher for those who are certified but want to brush up or need a quick-as-possible review when an emergency arises.",5,2015-06-15,1
86,The Lovely Novice,"I so wanted to rely on this app. I had installed this app because I felt that I could trust it to provide the emergency information I needed should one ever arise. I felt secure in that. So, when I faced an emergency poisoning incident I was surprised, and disappointed, that this app didn’t come up to my expectations. In this case, the emergency didn’t require a 911 call nor a trip to the ER. All that I needed was a simple step by step guide to address the situation. This app didn’t deliver. I ended up having to find what I needed on the internet. Now, I was glad that at least there were instructions to call 911. And, there are ways to determine if that’s even needed. The information is general and basic; not at all what I expected. I could have saved time by going directly to my browser for answers.",2,2016-04-18,-1
87,Tom Boz,"The emergency preparedness kit list is good, but since it is a list of very basic suggestions, I would add a propane camp stove, several small fuel canisters, matches, and at least one battery powered LED lantern. Being able to cook food is a huge stress reliever, especially in a cold climate.

One gallon of water per person per day does not allow washing anything, so also paper plates, cups, napkins, disposable cutlery, and trash bags. 

All of the above could be added for less than $150 (the stove and fuel would be about half the total) and would make a very meaningful difference in stress levels. Not everyone would spend the money or storage space, but those who do would be far better prepared. Reducing stress levels is critical. Hot food and a decent light help a lot.

I would also consider tranquilizers for pets if people need to evacuate- especially for house cats. And a small cage.",4,2012-11-06,1
88,evdanielsson,"I don't know who, if anybody, reads these, but, here it goes! 

This is one of the coolest utility apps I've found! It's amazing! It has steps for just about every emergency! I know I will be using this a lot! I'm also looking forward to the tornado, flood, hurricane and earthquake apps! 

I would like to see ""Stings & Bites"" under the list of emergencies, as opposed to the ""ad type thing"" at the top of the page. As that is probably a common emergency. 
I would also like to see sunburns added. I got one of those today, and to my surprise, help for that wasn't in this app! 
Please add blisters too! :D
Something about ""Wild animal bites"" might also be helpful. I was bitten by a stray/ferrel cat a while ago, and didn't do anything about it, not knowing what to do. I did a school report on rabies a while afterwards, and it got me thinking, what if I get bit by another animal. :)

Having three and a half pets (one cat lives mostly outdoors), I was very happy to see the ""Pet preparedness"" category! This app has it all!!!!!!",5,2012-07-13,1
89,Revmat,"I recently took a Red Cross class and I wanted to see if anything stuck. I went straight to the tests. Surprisingly enough I only missed one question (I had the person keep their burn under cool water for a few minutes too long).
It really shouldn't be used in an emergency, but is a good reminder of what to do if you find yourself needing to treat someone in an emergency.

You should always get certified by a professional and do the hands on training, but the certification could be 1-2 years, so it's good to take refreshers if you're not an EMT or RN.

Good basics and simple run down of what to do. I recommend this not for those who have no background, but for those who need the refresher. However, if you can't afford to take the classes or are cannot get to any in your area, this is the next best thing.

Key point of reference, know when to call emergency numbers!",5,2015-12-07,1
90,Nikolai Shkurkin,"Well organized and for the most part holds basic information relevant information to each topic. 

When I was looking over ""stings"", you guys failed to specifically tackle a certain type of sting. Although asphyxia and trouble breathing generally fall into the symptoms, a sting in the mouth can result in progressive swelling of the tongue and lining of the throat, eventually choking somebody to death if not taken to the hospital. What i was really looking for was a specific reference to an ""oral stings"" which warned people of the severe danger of this type of sting.",5,2012-06-29,-1
91,Revan1123,"I love this app! Aside from it being sweet and concise, god forbid there should be an emergency, it has a very nice and appealing interface. Colors are nice and the layout is easy to read for quick reference. Pictures and videos and animated pictures for the different types of first aid emergencies. Red Cross must've paid a lot to the developer (3sided cube) for this app. But because there are no ads, I'm proud to say this non profit org has my respect still. Thank you for helping us properly care for one another Red Cross. :)",5,2012-12-23,1
92,Maria Teresa 213,"All ages should down load this!! It's a great app for the normal person, being an emt I feel everyone should be somewhat educated, & be able to maintain life before we arrive! Also to all the people knocking the app, this is for the person who is not am emt or medic, it's to help that person in a medical emergency, till Ems personal is on scene!! So calling people ""idiots"" and they need to grow up is not so very mature, maybe you need to do the growing up!! Thank you red cross for making this app available!",5,2012-07-07,1
93,R.C.3377,"First aid has been an interest of mine for years, so I downloaded this app as a reminder and to verify that what I know is current, as guidelines do change.

The information given, so far as I can tell, is absolutely correct and formatted well for ease-of-use. The problem is what is not mentioned. What do you do if, for whatever reason, emergency services are unavailable? (Longer-term advice for things like bleeding, trauma, and other injuries commonly sustained during disasters would be appreciated!)

I also noticed that basic CPR method is taught here, but only if you know what you're looking for.",3,2012-11-06,-1
94,Ptelin,"I have been waiting for something like this for awhile. I have it loaded on all the family phones. Just going through it caused old notions and home remedies to be questioned. It's fantastic, I think the sooner they come out with other scenarios the better. I agree with some of the other pots, that it could be expanded on for different level care but I am sure the consideration between proper training and basic aid must be taken into account. Anything above first responder may cause more harm than good.",5,2012-07-05,1
95,Steve75x,"I'm giving 4 stars more for the idea of this app and to encourage them to keep developing it. If you know absolutely NOTHING about first aid then this app will help you otherwise it's still a good re hash of what you probably already know.  I think it would be great for kids of babysitting age to have as a reference and go thru all the quizzes to get a solid basic first age foundation.

Recommendation to app developers add some advanced tabs or maybe consider a first responder app that gives more in depth stuff.",4,2014-10-17,1
96,DarkwingKevin,"Lots of quickly accessible lifesaving protocols for first responders. 

Get this app for your family members, and spend a few minutes understanding how it works. It may seem silly to think that you may be in a situation where you need to consult an app to save someone's life, but I think you'll be glad you've got it if you do. 

The other poster me mentioned the hospital locator feature. It gives me hospitals that are indeed nearby, but are not the closest.",4,2017-03-13,1
97,Jo in Alaska,"As a red cross instructor for over twenty years this is the best idea red cross as ever come up with.  I am share the little knowledge tests with my five year old grandson and he loves showing me he knows what to do in an emergency.  All I can say is lets get the other apps online and promote this apps to everyone you know.  Would be great if the check lists were printable and there was a link to online disaster training classes.  Love it, love it and did I mention I love it.  My family loves it as well.",5,2012-08-03,1
98,miss_bunches,"I haven't needed this app, and hopefully I never will, but if I ever do you can bet your bottom dollar that I'll use it! It's extremely helpful and you can prepare yourself by reading up on first aid in practically any situation. There are also short quizzes to see how much you know and how prepared you already are. Every person needs this because you never know when something may happen.",5,2012-07-22,1
99,MegRose77,"This is without a doubt, my favorite app. I believe it is extremely accurate, and if put in the situation, life saving. Children are constantly in my care and if I were alone with them and something happened, I know I would turn to this app for guidance on what to do and quickly. Seriously if someone reads my review, you need to see it to believe it. At least get it to look at it, it's free so you have nothing to lose!",5,2012-07-04,1
100,cjcoffman,"It's unbelievably basic. This won't really help in an emergency situation as it takes too long to get to the very limited information, although I feel it's purpose is not to be used in an emergency. 

Most subjects just refer you to call 911 which is the best thing if you don't have proper training. 

I'd like to see an app that focuses attention on what to do when one is out of communication range and needs to take care of both immediate and extended care; i.e., wilderness medical practice.",4,2015-10-02,1
101,Country&Western,"I've been a certified EMT and CPR instructor and I can't find anything wrong with the first responder advice this app gives. 
I like the way it's organized because it's easy to understand for all ages and skill levels. It doesn't just tell you HOW to do something, it also explains WHY you need to do it. Because, when you know ""WHY"", it's easier to learn and remember ""HOW""...
 
I really enjoy taking the tests both before and after going through the learning sections. The reward badges are very positive and motivating when achieved.

The reason I only gave 4 stars is because it isn't designed for use on an iPad, although it still works on one. Once that is fixed, it will have an easy 5 star rating from me.

Everyone should have this app!!!!!",4,2012-07-13,1
102,Stablemind,"This is very, very basic info, but it is the basics everyone should know at the very least...even if it only keeps people from doing more harm than good!  You have to start somewhere and this is good, solid, simple information presented as easily and understandably as it could possibly be presented. Just make sure anyone you know knows this info inside and out and everyone will be better off!",5,2014-01-26,1
103,dza1994,"Just amazing. Even has a dial 911 feature for those who have an iPhone. Instructions are foolproof and step-by-step. Just reading everything felt so easy to understand and simply blew my mind.
Now any iOS user can become a potential hero, even without training.
Amazingly well done guys. Would be even better if the info was offline as well (if it isn't already). A must have for all iOS users.",5,2012-06-16,1
104,SgtChez,"I got this app to help remind me of basic 1st aid and CPR techniques. The learning sections are great for basic 1st aid that your average untrained person can use to be effective in an emergency situation. 

If you're looking for an app to help you do surgery in the woods with a Swiss Army knife, this ain't the app.  But as a good refresher and reference app, I think it's solid. I particularly like the test to make sure you're getting it.  It ain't Med school, but I personally like it!",5,2016-08-11,1
105,Richard Beaudry,"This app is amazing. You can receive info on how to treat all sorts of things from burns to wounds, and you can learn how to prepare for natural disasters. You can even take tests to make sure that you know all of the things that they tell you!! Another great feature is that you can tap the emergency button to get quick, life saving advice in an emergency. This app is incredibly useful and definitely deserves 5 stars!",5,2012-06-18,1
106,LadyDawn,"The information alone is priceless. Then the simplicity of the instruction, pictures and the common question and answer section used together makes it simple to learn how to administer first aid to a person in need. Then once you've studied prove you know first aid by taking the quizzes. 
Everyone should have this app! 
Thank you for developing this invaluable tool.",5,2015-05-01,1
107,Mr. Tim F,"The Red Cross comes through again. I have used their publications for years and the mobile apps they have created are great. I live in NorCal and earthquakes are a concern. The earthquake app keeps me well informed concerning the activity in my area which is almost constant. The first aid and other apps have performed great. I look forward to the new apps they are working on now. Thanks again Red Cross for saving lives Daily!
Mr. Tim",5,2012-11-28,1
108,Jaymalynzchow,"I am a big sister, a nanny, a wife, and a mother-to-be. I'm currently studying to become a health educator and when I finish that I hope to get my EMT certification. So people trust me to know this stuff. Of course I have had first aid training, but in the heat of the moment it can slip your mind. I love having this app so that I can brush up on my skills just a little bit everyday. It helps me feel so much more prepared and safe.",5,2014-08-18,1
109,gitrslngr,"It's helpful if you're in a place where 911 can easily be called and help can arrive but... What happens if you're camping in the wilderness or are far away from any hospitals...? Like the person said below, give us more knowledge. Also in the test section, some of the answers to choose are pictures, not words, and I can't see the picture. Fix this big and offer more information for people who are far away and cannot get help. Watch ""I shouldn't be alive"" and see what I mean...",3,2013-08-04,1
110,NortonKarp,"Everything about this app is useful when minutes count. I find myself using it just to educate myself if something happens to come up. 

There is one issue, would someone check the spelling and grammar (I saw some mistakes in the Diabetes section).

Otherwise I would greatly recommend this app. I'm even going to upload it to my wife's phone for if I experience a Diabetic episode.",5,2012-07-03,1
111,Realtree Josie,"It's a awesome app but the only problem I have is the quizzes answers are sometimes too easy. Like ""how do you stop bleeding?""
A. Go to the mall
B. Apply pressure with a clean cloth

And I kinda wish they would tell you what to do if you can't call a ambulance (like no cell service or in the wilderness). But this is still a awesome app that I definitely think everyone should have! 😃",5,2015-08-21,1
112,Jamesthegirl721,"I like all the prepping info and all the emergency tips etc. However, anytime I try to select one of my locations, the app crashes. The ""up to date"" maps of active storms are useless. They're ridiculously small, have no additional information outside of the radar picture, and throughout Sandy, seemed to be at least an hour behind. Having the prep info, and the aftermath help is great, but don't rely this for info during the storm.",3,2012-11-09,1
113,Nelson132002,This app is mind blowing. One day on June 23 I really needed this app because my friend had a heat stroke and I didn't know what to do so I took him under a tree and I called 911. They told to look for something to help him while they send officers to where I was. I found this app and before the ambulance arrived he was a lot better. Without this app my friend would be in the hospital. THANK YOU RED CROSS.,5,2015-06-30,1
114,JerseyFishLover,"Every1 should get this app. It had so much information in it! I couldn't believe it's Free! It's  Easy to understand. The Red Cross is wonderful they helped my Family & I after R house fire, put us up in a hotel that night & gave my 2nd grader a bag of toys & games, including a stuffed toy 2 help him sleep that night. I will always be grateful to them.  This app allows u 2 donate to them & they need the support!",5,2016-01-07,1
