satisfied  ,  informative  ,  40
beneficial  ,  uninstructive  ,  9
beneficial  ,  precise  ,  35
beneficial  ,  responsive  ,  30
beneficial  ,  essential  ,  53
beneficial  ,  detailed  ,  22
beneficial  ,  reliable  ,  44
beneficial  ,  effective  ,  32
beneficial  ,  unresponsive  ,  27
beneficial  ,  powerful  ,  33
happy  ,  informative  ,  12
happy  ,  productive  ,  13
happy  ,  liable  ,  18
happy  ,  accurate  ,  15
happy  ,  manageable  ,  13
happy  ,  inaccurate  ,  13
happy  ,  user-friendly  ,  11
happy  ,  disorganize  ,  12
happy  ,  untrustworthy  ,  22
happy  ,  uninstructive  ,  0
happy  ,  precise  ,  17
happy  ,  responsive  ,  13
happy  ,  essential  ,  14
happy  ,  detailed  ,  15
happy  ,  reliable  ,  15
happy  ,  effective  ,  0
happy  ,  unresponsive  ,  12
happy  ,  powerful  ,  15
appeasement  ,  informative  ,  18
appeasement  ,  productive  ,  19
appeasement  ,  liable  ,  24
appeasement  ,  accurate  ,  21
appeasement  ,  manageable  ,  38
appeasement  ,  inaccurate  ,  19
appeasement  ,  user-friendly  ,  33
appeasement  ,  disorganize  ,  18
appeasement  ,  untrustworthy  ,  17
appeasement  ,  uninstructive  ,  8
appeasement  ,  precise  ,  44
appeasement  ,  responsive  ,  19
appeasement  ,  essential  ,  50
appeasement  ,  detailed  ,  21
appeasement  ,  reliable  ,  21
appeasement  ,  effective  ,  30
appeasement  ,  unresponsive  ,  17
appeasement  ,  powerful  ,  21
unsatisfied  ,  informative  ,  45
unsatisfied  ,  productive  ,  38
unsatisfied  ,  liable  ,  24
unsatisfied  ,  accurate  ,  42
unsatisfied  ,  manageable  ,  29
unsatisfied  ,  inaccurate  ,  38
unsatisfied  ,  user-friendly  ,  50
unsatisfied  ,  disorganize  ,  36
unsatisfied  ,  untrustworthy  ,  33
unsatisfied  ,  uninstructive  ,  50
unsatisfied  ,  precise  ,  33
unsatisfied  ,  responsive  ,  38
unsatisfied  ,  essential  ,  30
unsatisfied  ,  detailed  ,  42
unsatisfied  ,  reliable  ,  21
unsatisfied  ,  effective  ,  30
unsatisfied  ,  unresponsive  ,  43
unsatisfied  ,  powerful  ,  11
bad  ,  informative  ,  14
bad  ,  productive  ,  15
bad  ,  liable  ,  22
bad  ,  accurate  ,  18
bad  ,  manageable  ,  15
bad  ,  inaccurate  ,  15
bad  ,  user-friendly  ,  12
bad  ,  disorganize  ,  14
bad  ,  untrustworthy  ,  0
bad  ,  uninstructive  ,  0
bad  ,  precise  ,  0
bad  ,  responsive  ,  0
bad  ,  essential  ,  17
bad  ,  detailed  ,  36
bad  ,  reliable  ,  18
bad  ,  effective  ,  0
bad  ,  unresponsive  ,  0
bad  ,  powerful  ,  0
meaningless  ,  informative  ,  27
meaningless  ,  productive  ,  10
meaningless  ,  liable  ,  35
meaningless  ,  accurate  ,  11
meaningless  ,  manageable  ,  48
meaningless  ,  inaccurate  ,  29
meaningless  ,  user-friendly  ,  25
meaningless  ,  disorganize  ,  36
meaningless  ,  untrustworthy  ,  17
meaningless  ,  uninstructive  ,  33
meaningless  ,  precise  ,  33
meaningless  ,  responsive  ,  29
meaningless  ,  essential  ,  30
meaningless  ,  detailed  ,  53
meaningless  ,  reliable  ,  42
meaningless  ,  effective  ,  30
meaningless  ,  unresponsive  ,  35
meaningless  ,  powerful  ,  21
useless  ,  informative  ,  11
useless  ,  productive  ,  24
useless  ,  liable  ,  31
useless  ,  accurate  ,  27
useless  ,  manageable  ,  35
useless  ,  inaccurate  ,  24
useless  ,  user-friendly  ,  40
useless  ,  disorganize  ,  22
useless  ,  untrustworthy  ,  20
useless  ,  uninstructive  ,  30
useless  ,  precise  ,  29
useless  ,  responsive  ,  35
useless  ,  essential  ,  38
useless  ,  detailed  ,  40
useless  ,  reliable  ,  40
useless  ,  effective  ,  25
useless  ,  unresponsive  ,  42
useless  ,  powerful  ,  27
shame  ,  informative  ,  25
shame  ,  productive  ,  13
shame  ,  liable  ,  36
shame  ,  accurate  ,  31
shame  ,  manageable  ,  27
shame  ,  inaccurate  ,  27
shame  ,  user-friendly  ,  22
shame  ,  disorganize  ,  38
shame  ,  untrustworthy  ,  22
shame  ,  uninstructive  ,  22
shame  ,  precise  ,  33
shame  ,  responsive  ,  27
shame  ,  essential  ,  29
shame  ,  detailed  ,  31
shame  ,  reliable  ,  31
shame  ,  effective  ,  14
shame  ,  unresponsive  ,  24
shame  ,  powerful  ,  15
invaluable  ,  informative  ,  38
invaluable  ,  productive  ,  30
invaluable  ,  liable  ,  62
invaluable  ,  accurate  ,  44
invaluable  ,  manageable  ,  60
invaluable  ,  inaccurate  ,  60
invaluable  ,  user-friendly  ,  26
invaluable  ,  disorganize  ,  29
invaluable  ,  untrustworthy  ,  17
invaluable  ,  uninstructive  ,  35
invaluable  ,  precise  ,  24
invaluable  ,  responsive  ,  30
invaluable  ,  essential  ,  32
invaluable  ,  detailed  ,  33
invaluable  ,  reliable  ,  56
invaluable  ,  effective  ,  32
invaluable  ,  unresponsive  ,  27
invaluable  ,  powerful  ,  11
missing  ,  informative  ,  22
missing  ,  productive  ,  12
missing  ,  liable  ,  15
missing  ,  accurate  ,  0
missing  ,  manageable  ,  35
missing  ,  inaccurate  ,  24
missing  ,  user-friendly  ,  20
missing  ,  disorganize  ,  33
missing  ,  untrustworthy  ,  10
missing  ,  uninstructive  ,  20
missing  ,  precise  ,  29
missing  ,  responsive  ,  35
missing  ,  essential  ,  38
missing  ,  detailed  ,  13
missing  ,  reliable  ,  13
missing  ,  effective  ,  12
missing  ,  unresponsive  ,  32
missing  ,  powerful  ,  0
worth  ,  informative  ,  38
worth  ,  productive  ,  27
worth  ,  liable  ,  0
worth  ,  accurate  ,  31
worth  ,  manageable  ,  0
worth  ,  inaccurate  ,  27
worth  ,  user-friendly  ,  11
worth  ,  disorganize  ,  25
worth  ,  untrustworthy  ,  56
worth  ,  uninstructive  ,  22
worth  ,  precise  ,  17
worth  ,  responsive  ,  13
worth  ,  essential  ,  14
worth  ,  detailed  ,  15
worth  ,  reliable  ,  15
worth  ,  effective  ,  14
worth  ,  unresponsive  ,  12
worth  ,  powerful  ,  31
Incredible  ,  informative  ,  29
Incredible  ,  productive  ,  20
Incredible  ,  liable  ,  50
Incredible  ,  accurate  ,  33
Incredible  ,  manageable  ,  50
Incredible  ,  inaccurate  ,  40
Incredible  ,  user-friendly  ,  26
Incredible  ,  disorganize  ,  29
Incredible  ,  untrustworthy  ,  17
Incredible  ,  uninstructive  ,  26
Incredible  ,  precise  ,  47
Incredible  ,  responsive  ,  40
Incredible  ,  essential  ,  32
Incredible  ,  detailed  ,  22
Incredible  ,  reliable  ,  67
Incredible  ,  effective  ,  21
Incredible  ,  unresponsive  ,  45
Incredible  ,  powerful  ,  22
recommend  ,  informative  ,  20
recommend  ,  productive  ,  21
recommend  ,  liable  ,  13
recommend  ,  accurate  ,  24
recommend  ,  manageable  ,  21
recommend  ,  inaccurate  ,  21
recommend  ,  user-friendly  ,  36
recommend  ,  disorganize  ,  20
recommend  ,  untrustworthy  ,  18
recommend  ,  uninstructive  ,  18
recommend  ,  precise  ,  50
recommend  ,  responsive  ,  42
recommend  ,  essential  ,  33
recommend  ,  detailed  ,  35
recommend  ,  reliable  ,  35
recommend  ,  effective  ,  33
recommend  ,  unresponsive  ,  38
recommend  ,  powerful  ,  12
Fantastic  ,  informative  ,  30
Fantastic  ,  productive  ,  21
Fantastic  ,  liable  ,  13
Fantastic  ,  accurate  ,  24
Fantastic  ,  manageable  ,  32
Fantastic  ,  inaccurate  ,  21
Fantastic  ,  user-friendly  ,  9
Fantastic  ,  disorganize  ,  30
Fantastic  ,  untrustworthy  ,  36
Fantastic  ,  uninstructive  ,  36
Fantastic  ,  precise  ,  12
Fantastic  ,  responsive  ,  32
Fantastic  ,  essential  ,  33
Fantastic  ,  detailed  ,  35
Fantastic  ,  reliable  ,  12
Fantastic  ,  effective  ,  22
Fantastic  ,  unresponsive  ,  29
Fantastic  ,  powerful  ,  0
Disappointing  ,  informative  ,  33
Disappointing  ,  productive  ,  35
Disappointing  ,  liable  ,  21
Disappointing  ,  accurate  ,  19
Disappointing  ,  manageable  ,  26
Disappointing  ,  inaccurate  ,  26
Disappointing  ,  user-friendly  ,  15
Disappointing  ,  disorganize  ,  33
Disappointing  ,  untrustworthy  ,  15
Disappointing  ,  uninstructive  ,  31
Disappointing  ,  precise  ,  20
Disappointing  ,  responsive  ,  35
Disappointing  ,  essential  ,  36
Disappointing  ,  detailed  ,  10
Disappointing  ,  reliable  ,  19
Disappointing  ,  effective  ,  18
Disappointing  ,  unresponsive  ,  32
Disappointing  ,  powerful  ,  19
hopeless  ,  informative  ,  21
hopeless  ,  productive  ,  22
hopeless  ,  liable  ,  29
hopeless  ,  accurate  ,  12
hopeless  ,  manageable  ,  33
hopeless  ,  inaccurate  ,  11
hopeless  ,  user-friendly  ,  19
hopeless  ,  disorganize  ,  21
hopeless  ,  untrustworthy  ,  10
hopeless  ,  uninstructive  ,  10
hopeless  ,  precise  ,  40
hopeless  ,  responsive  ,  33
hopeless  ,  essential  ,  35
hopeless  ,  detailed  ,  38
hopeless  ,  reliable  ,  38
hopeless  ,  effective  ,  24
hopeless  ,  unresponsive  ,  30
hopeless  ,  powerful  ,  38
Best  ,  informative  ,  13
Best  ,  productive  ,  14
Best  ,  liable  ,  20
Best  ,  accurate  ,  17
Best  ,  manageable  ,  14
Best  ,  inaccurate  ,  14
Best  ,  user-friendly  ,  12
Best  ,  disorganize  ,  13
Best  ,  untrustworthy  ,  24
Best  ,  uninstructive  ,  24
Best  ,  precise  ,  36
Best  ,  responsive  ,  29
Best  ,  essential  ,  46
Best  ,  detailed  ,  33
Best  ,  reliable  ,  17
Best  ,  effective  ,  31
Best  ,  unresponsive  ,  25
Best  ,  powerful  ,  17
Lifesaver  ,  informative  ,  50
Lifesaver  ,  productive  ,  32
Lifesaver  ,  liable  ,  27
Lifesaver  ,  accurate  ,  12
Lifesaver  ,  manageable  ,  32
Lifesaver  ,  inaccurate  ,  21
Lifesaver  ,  user-friendly  ,  27
Lifesaver  ,  disorganize  ,  20
Lifesaver  ,  untrustworthy  ,  18
Lifesaver  ,  uninstructive  ,  36
Lifesaver  ,  precise  ,  25
Lifesaver  ,  responsive  ,  42
Lifesaver  ,  essential  ,  33
Lifesaver  ,  detailed  ,  24
Lifesaver  ,  reliable  ,  24
Lifesaver  ,  effective  ,  44
Lifesaver  ,  unresponsive  ,  38
Lifesaver  ,  powerful  ,  24
promising  ,  informative  ,  20
promising  ,  productive  ,  42
promising  ,  liable  ,  13
promising  ,  accurate  ,  12
promising  ,  manageable  ,  32
promising  ,  inaccurate  ,  21
promising  ,  user-friendly  ,  27
promising  ,  disorganize  ,  30
promising  ,  untrustworthy  ,  18
promising  ,  uninstructive  ,  18
promising  ,  precise  ,  50
promising  ,  responsive  ,  42
promising  ,  essential  ,  11
promising  ,  detailed  ,  12
promising  ,  reliable  ,  24
promising  ,  effective  ,  11
promising  ,  unresponsive  ,  38
promising  ,  powerful  ,  24
Wonderful  ,  informative  ,  20
Wonderful  ,  productive  ,  32
Wonderful  ,  liable  ,  13
Wonderful  ,  accurate  ,  12
Wonderful  ,  manageable  ,  32
Wonderful  ,  inaccurate  ,  21
Wonderful  ,  user-friendly  ,  27
Wonderful  ,  disorganize  ,  30
Wonderful  ,  untrustworthy  ,  18
Wonderful  ,  uninstructive  ,  18
Wonderful  ,  precise  ,  12
Wonderful  ,  responsive  ,  32
Wonderful  ,  essential  ,  22
Wonderful  ,  detailed  ,  35
Wonderful  ,  reliable  ,  24
Wonderful  ,  effective  ,  22
Wonderful  ,  unresponsive  ,  29
Wonderful  ,  powerful  ,  71
outdated  ,  informative  ,  42
outdated  ,  productive  ,  44
outdated  ,  liable  ,  29
outdated  ,  accurate  ,  50
outdated  ,  manageable  ,  22
outdated  ,  inaccurate  ,  44
outdated  ,  user-friendly  ,  19
outdated  ,  disorganize  ,  32
outdated  ,  untrustworthy  ,  19
outdated  ,  uninstructive  ,  38
outdated  ,  precise  ,  13
outdated  ,  responsive  ,  22
outdated  ,  essential  ,  24
outdated  ,  detailed  ,  50
outdated  ,  reliable  ,  25
outdated  ,  effective  ,  24
outdated  ,  unresponsive  ,  20
outdated  ,  powerful  ,  25
