convenient  ,  informative  ,  29
perfect  ,  unresponsive  ,  21
perfect  ,  powerful  ,  53
messy  ,  informative  ,  25
messy  ,  productive  ,  13
messy  ,  liable  ,  18
messy  ,  accurate  ,  15
messy  ,  manageable  ,  27
messy  ,  inaccurate  ,  13
messy  ,  user-friendly  ,  22
messy  ,  disorganize  ,  12
messy  ,  untrustworthy  ,  22
messy  ,  uninstructive  ,  11
messy  ,  precise  ,  33
messy  ,  responsive  ,  40
messy  ,  essential  ,  43
messy  ,  detailed  ,  15
messy  ,  reliable  ,  15
messy  ,  effective  ,  14
messy  ,  unresponsive  ,  35
messy  ,  powerful  ,  15
infallible  ,  informative  ,  57
infallible  ,  productive  ,  20
infallible  ,  liable  ,  62
infallible  ,  accurate  ,  22
infallible  ,  manageable  ,  50
infallible  ,  inaccurate  ,  40
infallible  ,  user-friendly  ,  26
infallible  ,  disorganize  ,  38
infallible  ,  untrustworthy  ,  9
infallible  ,  uninstructive  ,  35
infallible  ,  precise  ,  24
infallible  ,  responsive  ,  20
infallible  ,  essential  ,  32
infallible  ,  detailed  ,  33
infallible  ,  reliable  ,  56
infallible  ,  effective  ,  21
infallible  ,  unresponsive  ,  18
infallible  ,  powerful  ,  22
sleek  ,  informative  ,  12
sleek  ,  productive  ,  13
sleek  ,  liable  ,  36
sleek  ,  accurate  ,  15
sleek  ,  manageable  ,  27
sleek  ,  inaccurate  ,  13
sleek  ,  user-friendly  ,  22
sleek  ,  disorganize  ,  25
sleek  ,  untrustworthy  ,  11
sleek  ,  uninstructive  ,  22
sleek  ,  precise  ,  33
sleek  ,  responsive  ,  27
sleek  ,  essential  ,  29
sleek  ,  detailed  ,  31
sleek  ,  reliable  ,  31
sleek  ,  effective  ,  29
sleek  ,  unresponsive  ,  24
sleek  ,  powerful  ,  15
smooth  ,  informative  ,  24
smooth  ,  productive  ,  25
smooth  ,  liable  ,  0
smooth  ,  accurate  ,  14
smooth  ,  manageable  ,  12
smooth  ,  inaccurate  ,  12
smooth  ,  user-friendly  ,  11
smooth  ,  disorganize  ,  24
smooth  ,  untrustworthy  ,  42
smooth  ,  uninstructive  ,  21
smooth  ,  precise  ,  15
smooth  ,  responsive  ,  25
smooth  ,  essential  ,  27
smooth  ,  detailed  ,  14
smooth  ,  reliable  ,  0
smooth  ,  effective  ,  13
smooth  ,  unresponsive  ,  22
smooth  ,  powerful  ,  14
poor  ,  informative  ,  27
poor  ,  productive  ,  29
poor  ,  liable  ,  0
poor  ,  accurate  ,  17
poor  ,  manageable  ,  0
poor  ,  inaccurate  ,  14
poor  ,  user-friendly  ,  12
poor  ,  disorganize  ,  27
poor  ,  untrustworthy  ,  24
poor  ,  uninstructive  ,  12
poor  ,  precise  ,  36
poor  ,  responsive  ,  29
poor  ,  essential  ,  0
poor  ,  detailed  ,  0
poor  ,  reliable  ,  17
poor  ,  effective  ,  0
poor  ,  unresponsive  ,  25
poor  ,  powerful  ,  50
complicated  ,  informative  ,  45
complicated  ,  productive  ,  29
complicated  ,  liable  ,  47
complicated  ,  accurate  ,  53
complicated  ,  manageable  ,  29
complicated  ,  inaccurate  ,  48
complicated  ,  user-friendly  ,  8
complicated  ,  disorganize  ,  27
complicated  ,  untrustworthy  ,  17
complicated  ,  uninstructive  ,  25
complicated  ,  precise  ,  33
complicated  ,  responsive  ,  29
complicated  ,  essential  ,  10
complicated  ,  detailed  ,  32
complicated  ,  reliable  ,  42
complicated  ,  effective  ,  30
complicated  ,  unresponsive  ,  26
complicated  ,  powerful  ,  21
tricky  ,  informative  ,  24
tricky  ,  productive  ,  25
tricky  ,  liable  ,  17
tricky  ,  accurate  ,  14
tricky  ,  manageable  ,  0
tricky  ,  inaccurate  ,  12
tricky  ,  user-friendly  ,  32
tricky  ,  disorganize  ,  24
tricky  ,  untrustworthy  ,  32
tricky  ,  uninstructive  ,  32
tricky  ,  precise  ,  31
tricky  ,  responsive  ,  25
tricky  ,  essential  ,  27
tricky  ,  detailed  ,  29
tricky  ,  reliable  ,  29
tricky  ,  effective  ,  27
tricky  ,  unresponsive  ,  22
tricky  ,  powerful  ,  14
tangledunable  ,  informative  ,  17
tangledunable  ,  productive  ,  26
tangledunable  ,  liable  ,  53
tangledunable  ,  accurate  ,  19
tangledunable  ,  manageable  ,  70
tangledunable  ,  inaccurate  ,  26
tangledunable  ,  user-friendly  ,  15
tangledunable  ,  disorganize  ,  25
tangledunable  ,  untrustworthy  ,  15
tangledunable  ,  uninstructive  ,  23
tangledunable  ,  precise  ,  20
tangledunable  ,  responsive  ,  17
tangledunable  ,  essential  ,  27
tangledunable  ,  detailed  ,  48
tangledunable  ,  reliable  ,  48
tangledunable  ,  effective  ,  18
tangledunable  ,  unresponsive  ,  24
tangledunable  ,  powerful  ,  10
crashed  ,  informative  ,  33
crashed  ,  productive  ,  24
crashed  ,  liable  ,  31
crashed  ,  accurate  ,  53
crashed  ,  manageable  ,  24
crashed  ,  inaccurate  ,  47
crashed  ,  user-friendly  ,  30
crashed  ,  disorganize  ,  33
crashed  ,  untrustworthy  ,  30
crashed  ,  uninstructive  ,  20
crashed  ,  precise  ,  43
crashed  ,  responsive  ,  35
crashed  ,  essential  ,  12
crashed  ,  detailed  ,  40
crashed  ,  reliable  ,  40
crashed  ,  effective  ,  25
crashed  ,  unresponsive  ,  32
crashed  ,  powerful  ,  13
complex  ,  informative  ,  33
complex  ,  productive  ,  24
complex  ,  liable  ,  31
complex  ,  accurate  ,  27
complex  ,  manageable  ,  35
complex  ,  inaccurate  ,  24
complex  ,  user-friendly  ,  10
complex  ,  disorganize  ,  22
complex  ,  untrustworthy  ,  10
complex  ,  uninstructive  ,  20
complex  ,  precise  ,  29
complex  ,  responsive  ,  24
complex  ,  essential  ,  12
complex  ,  detailed  ,  27
complex  ,  reliable  ,  27
complex  ,  effective  ,  25
complex  ,  unresponsive  ,  21
complex  ,  powerful  ,  27
easy  ,  informative  ,  13
easy  ,  productive  ,  14
easy  ,  liable  ,  20
easy  ,  accurate  ,  17
easy  ,  manageable  ,  29
easy  ,  inaccurate  ,  14
easy  ,  user-friendly  ,  24
easy  ,  disorganize  ,  13
easy  ,  untrustworthy  ,  24
easy  ,  uninstructive  ,  12
easy  ,  precise  ,  36
easy  ,  responsive  ,  29
easy  ,  essential  ,  31
easy  ,  detailed  ,  33
easy  ,  reliable  ,  33
easy  ,  effective  ,  15
easy  ,  unresponsive  ,  25
easy  ,  powerful  ,  17
difficult  ,  informative  ,  30
difficult  ,  productive  ,  21
difficult  ,  liable  ,  27
difficult  ,  accurate  ,  35
difficult  ,  manageable  ,  11
difficult  ,  inaccurate  ,  42
difficult  ,  user-friendly  ,  18
difficult  ,  disorganize  ,  30
difficult  ,  untrustworthy  ,  18
difficult  ,  uninstructive  ,  18
difficult  ,  precise  ,  12
difficult  ,  responsive  ,  11
difficult  ,  essential  ,  22
difficult  ,  detailed  ,  35
difficult  ,  reliable  ,  24
difficult  ,  effective  ,  33
difficult  ,  unresponsive  ,  10
difficult  ,  powerful  ,  35
comprehensive  ,  informative  ,  42
comprehensive  ,  productive  ,  43
comprehensive  ,  liable  ,  11
comprehensive  ,  accurate  ,  29
comprehensive  ,  manageable  ,  26
comprehensive  ,  inaccurate  ,  26
comprehensive  ,  user-friendly  ,  23
comprehensive  ,  disorganize  ,  25
comprehensive  ,  untrustworthy  ,  23
comprehensive  ,  uninstructive  ,  38
comprehensive  ,  precise  ,  40
comprehensive  ,  responsive  ,  61
comprehensive  ,  essential  ,  36
comprehensive  ,  detailed  ,  19
comprehensive  ,  reliable  ,  29
comprehensive  ,  effective  ,  36
comprehensive  ,  unresponsive  ,  56
comprehensive  ,  powerful  ,  19
INCOMPLETE  ,  informative  ,  0
INCOMPLETE  ,  productive  ,  0
INCOMPLETE  ,  liable  ,  0
INCOMPLETE  ,  accurate  ,  0
INCOMPLETE  ,  manageable  ,  0
INCOMPLETE  ,  inaccurate  ,  0
INCOMPLETE  ,  user-friendly  ,  0
INCOMPLETE  ,  disorganize  ,  0
INCOMPLETE  ,  untrustworthy  ,  0
INCOMPLETE  ,  uninstructive  ,  0
INCOMPLETE  ,  precise  ,  0
INCOMPLETE  ,  responsive  ,  0
INCOMPLETE  ,  essential  ,  0
INCOMPLETE  ,  detailed  ,  0
INCOMPLETE  ,  reliable  ,  0
INCOMPLETE  ,  effective  ,  0
INCOMPLETE  ,  unresponsive  ,  0
INCOMPLETE  ,  powerful  ,  0
Invalid  ,  informative  ,  22
Invalid  ,  productive  ,  12
Invalid  ,  liable  ,  31
Invalid  ,  accurate  ,  13
Invalid  ,  manageable  ,  35
Invalid  ,  inaccurate  ,  24
Invalid  ,  user-friendly  ,  20
Invalid  ,  disorganize  ,  22
Invalid  ,  untrustworthy  ,  10
Invalid  ,  uninstructive  ,  20
Invalid  ,  precise  ,  14
Invalid  ,  responsive  ,  24
Invalid  ,  essential  ,  38
Invalid  ,  detailed  ,  40
Invalid  ,  reliable  ,  27
Invalid  ,  effective  ,  12
Invalid  ,  unresponsive  ,  21
Invalid  ,  powerful  ,  13
